ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007173	epidermal growth factor receptor signaling pathway	10/342	103/21351	6.15236841390188e-06	0.00193319062429669	0.00170601922619054	ENSMUSG00000020806/ENSMUSG00000028121/ENSMUSG00000026883/ENSMUSG00000016933/ENSMUSG00000037224/ENSMUSG00000037104/ENSMUSG00000074272/ENSMUSG00000025314/ENSMUSG00000059456/ENSMUSG00000019768	10
GO:0032944	regulation of mononuclear cell proliferation	15/342	235/21351	6.42368626684591e-06	0.00193319062429669	0.00170601922619054	ENSMUSG00000017009/ENSMUSG00000029554/ENSMUSG00000026288/ENSMUSG00000029082/ENSMUSG00000037944/ENSMUSG00000020167/ENSMUSG00000018168/ENSMUSG00000090958/ENSMUSG00000006574/ENSMUSG00000024353/ENSMUSG00000000732/ENSMUSG00000074272/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000068105	15
GO:0002429	immune response-activating cell surface receptor signaling pathway	16/342	268/21351	7.41592717458673e-06	0.00193319062429669	0.00170601922619054	ENSMUSG00000075370/ENSMUSG00000039316/ENSMUSG00000003379/ENSMUSG00000037944/ENSMUSG00000040592/ENSMUSG00000016933/ENSMUSG00000024673/ENSMUSG00000030724/ENSMUSG00000061132/ENSMUSG00000000732/ENSMUSG00000025314/ENSMUSG00000043008/ENSMUSG00000069255/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000052889	16
GO:0002757	immune response-activating signal transduction	16/342	269/21351	7.77206234282292e-06	0.00193319062429669	0.00170601922619054	ENSMUSG00000075370/ENSMUSG00000039316/ENSMUSG00000003379/ENSMUSG00000037944/ENSMUSG00000040592/ENSMUSG00000016933/ENSMUSG00000024673/ENSMUSG00000030724/ENSMUSG00000061132/ENSMUSG00000000732/ENSMUSG00000025314/ENSMUSG00000043008/ENSMUSG00000069255/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000052889	16
GO:0043114	regulation of vascular permeability	7/342	46/21351	7.96186073982561e-06	0.00193319062429669	0.00170601922619054	ENSMUSG00000110195/ENSMUSG00000038587/ENSMUSG00000024431/ENSMUSG00000017631/ENSMUSG00000059895/ENSMUSG00000074272/ENSMUSG00000025314	7
GO:0010631	epithelial cell migration	17/342	303/21351	8.76213290977709e-06	0.00193319062429669	0.00170601922619054	ENSMUSG00000034312/ENSMUSG00000032702/ENSMUSG00000022018/ENSMUSG00000032035/ENSMUSG00000026883/ENSMUSG00000016933/ENSMUSG00000030123/ENSMUSG00000045038/ENSMUSG00000059895/ENSMUSG00000020717/ENSMUSG00000021701/ENSMUSG00000039936/ENSMUSG00000029287/ENSMUSG00000074272/ENSMUSG00000059456/ENSMUSG00000029710/ENSMUSG00000026463	17
GO:0007264	small GTPase mediated signal transduction	21/342	439/21351	9.33508177035629e-06	0.00193319062429669	0.00170601922619054	ENSMUSG00000034312/ENSMUSG00000032702/ENSMUSG00000009621/ENSMUSG00000045281/ENSMUSG00000018008/ENSMUSG00000049044/ENSMUSG00000030766/ENSMUSG00000028121/ENSMUSG00000017132/ENSMUSG00000026883/ENSMUSG00000055926/ENSMUSG00000017631/ENSMUSG00000030047/ENSMUSG00000038807/ENSMUSG00000020717/ENSMUSG00000075254/ENSMUSG00000021701/ENSMUSG00000031785/ENSMUSG00000050350/ENSMUSG00000030583/ENSMUSG00000035711	21
GO:0090132	epithelium migration	17/342	305/21351	9.54924018587829e-06	0.00193319062429669	0.00170601922619054	ENSMUSG00000034312/ENSMUSG00000032702/ENSMUSG00000022018/ENSMUSG00000032035/ENSMUSG00000026883/ENSMUSG00000016933/ENSMUSG00000030123/ENSMUSG00000045038/ENSMUSG00000059895/ENSMUSG00000020717/ENSMUSG00000021701/ENSMUSG00000039936/ENSMUSG00000029287/ENSMUSG00000074272/ENSMUSG00000059456/ENSMUSG00000029710/ENSMUSG00000026463	17
GO:0090130	tissue migration	17/342	307/21351	1.03990445530537e-05	0.00199442728164882	0.00176005989526753	ENSMUSG00000034312/ENSMUSG00000032702/ENSMUSG00000022018/ENSMUSG00000032035/ENSMUSG00000026883/ENSMUSG00000016933/ENSMUSG00000030123/ENSMUSG00000045038/ENSMUSG00000059895/ENSMUSG00000020717/ENSMUSG00000021701/ENSMUSG00000039936/ENSMUSG00000029287/ENSMUSG00000074272/ENSMUSG00000059456/ENSMUSG00000029710/ENSMUSG00000026463	17
GO:0038127	ERBB signaling pathway	10/342	112/21351	1.29980835048596e-05	0.00219617131339015	0.00193809675960683	ENSMUSG00000020806/ENSMUSG00000028121/ENSMUSG00000026883/ENSMUSG00000016933/ENSMUSG00000037224/ENSMUSG00000037104/ENSMUSG00000074272/ENSMUSG00000025314/ENSMUSG00000059456/ENSMUSG00000019768	10
GO:0002768	immune response-regulating cell surface receptor signaling pathway	16/342	281/21351	1.34055587475954e-05	0.00219617131339015	0.00193809675960683	ENSMUSG00000075370/ENSMUSG00000039316/ENSMUSG00000003379/ENSMUSG00000037944/ENSMUSG00000040592/ENSMUSG00000016933/ENSMUSG00000024673/ENSMUSG00000030724/ENSMUSG00000061132/ENSMUSG00000000732/ENSMUSG00000025314/ENSMUSG00000043008/ENSMUSG00000069255/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000052889	16
GO:0042058	regulation of epidermal growth factor receptor signaling pathway	8/342	69/21351	1.42691959766962e-05	0.00219617131339015	0.00193809675960683	ENSMUSG00000020806/ENSMUSG00000028121/ENSMUSG00000026883/ENSMUSG00000037224/ENSMUSG00000037104/ENSMUSG00000074272/ENSMUSG00000025314/ENSMUSG00000019768	8
GO:0070663	regulation of leukocyte proliferation	15/342	252/21351	1.47979598660537e-05	0.00219617131339015	0.00193809675960683	ENSMUSG00000017009/ENSMUSG00000029554/ENSMUSG00000026288/ENSMUSG00000029082/ENSMUSG00000037944/ENSMUSG00000020167/ENSMUSG00000018168/ENSMUSG00000090958/ENSMUSG00000006574/ENSMUSG00000024353/ENSMUSG00000000732/ENSMUSG00000074272/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000068105	15
GO:0042100	B cell proliferation	10/342	114/21351	1.51962578896508e-05	0.00219617131339015	0.00193809675960683	ENSMUSG00000026288/ENSMUSG00000029082/ENSMUSG00000003379/ENSMUSG00000020167/ENSMUSG00000030724/ENSMUSG00000018168/ENSMUSG00000024353/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000068105	10
GO:0002764	immune response-regulating signaling pathway	16/342	284/21351	1.52875383811256e-05	0.00219617131339015	0.00193809675960683	ENSMUSG00000075370/ENSMUSG00000039316/ENSMUSG00000003379/ENSMUSG00000037944/ENSMUSG00000040592/ENSMUSG00000016933/ENSMUSG00000024673/ENSMUSG00000030724/ENSMUSG00000061132/ENSMUSG00000000732/ENSMUSG00000025314/ENSMUSG00000043008/ENSMUSG00000069255/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000052889	16
GO:0030888	regulation of B cell proliferation	8/342	70/21351	1.58883032681963e-05	0.00219617131339015	0.00193809675960683	ENSMUSG00000026288/ENSMUSG00000029082/ENSMUSG00000020167/ENSMUSG00000018168/ENSMUSG00000024353/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000068105	8
GO:0043087	regulation of GTPase activity	17/342	318/21351	1.64001536482077e-05	0.00219617131339015	0.00193809675960683	ENSMUSG00000034312/ENSMUSG00000009621/ENSMUSG00000037533/ENSMUSG00000028121/ENSMUSG00000037944/ENSMUSG00000026883/ENSMUSG00000017631/ENSMUSG00000030123/ENSMUSG00000030047/ENSMUSG00000021365/ENSMUSG00000038807/ENSMUSG00000020717/ENSMUSG00000068015/ENSMUSG00000059456/ENSMUSG00000074785/ENSMUSG00000030583/ENSMUSG00000020702	17
GO:0043116	negative regulation of vascular permeability	5/342	21/21351	1.68750814420758e-05	0.00219617131339015	0.00193809675960683	ENSMUSG00000110195/ENSMUSG00000038587/ENSMUSG00000024431/ENSMUSG00000074272/ENSMUSG00000025314	5
GO:0002253	activation of immune response	18/342	353/21351	1.75147174065392e-05	0.00220081483549754	0.00194219461622422	ENSMUSG00000075370/ENSMUSG00000039316/ENSMUSG00000022018/ENSMUSG00000003379/ENSMUSG00000037944/ENSMUSG00000040592/ENSMUSG00000016933/ENSMUSG00000022471/ENSMUSG00000024673/ENSMUSG00000030724/ENSMUSG00000061132/ENSMUSG00000000732/ENSMUSG00000025314/ENSMUSG00000043008/ENSMUSG00000069255/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000052889	18
GO:1901184	regulation of ERBB signaling pathway	8/342	74/21351	2.39961631472373e-05	0.00291473395028442	0.00257222029525649	ENSMUSG00000020806/ENSMUSG00000028121/ENSMUSG00000026883/ENSMUSG00000037224/ENSMUSG00000037104/ENSMUSG00000074272/ENSMUSG00000025314/ENSMUSG00000019768	8
GO:2000146	negative regulation of cell motility	16/342	297/21351	2.64453504705232e-05	0.00310860829401892	0.00274331224745156	ENSMUSG00000032702/ENSMUSG00000025373/ENSMUSG00000024544/ENSMUSG00000022018/ENSMUSG00000026883/ENSMUSG00000017631/ENSMUSG00000074238/ENSMUSG00000031785/ENSMUSG00000029287/ENSMUSG00000025314/ENSMUSG00000068015/ENSMUSG00000028211/ENSMUSG00000063410/ENSMUSG00000050350/ENSMUSG00000069255/ENSMUSG00000026463	16
GO:0040013	negative regulation of locomotion	17/342	332/21351	2.83999185280429e-05	0.00323404072238089	0.00285400497049905	ENSMUSG00000025020/ENSMUSG00000032702/ENSMUSG00000025373/ENSMUSG00000024544/ENSMUSG00000022018/ENSMUSG00000026883/ENSMUSG00000017631/ENSMUSG00000074238/ENSMUSG00000031785/ENSMUSG00000029287/ENSMUSG00000025314/ENSMUSG00000068015/ENSMUSG00000028211/ENSMUSG00000063410/ENSMUSG00000050350/ENSMUSG00000069255/ENSMUSG00000026463	17
GO:0001667	ameboidal-type cell migration	20/342	438/21351	2.95930799037612e-05	0.00326779342937291	0.00288379135904276	ENSMUSG00000017009/ENSMUSG00000034312/ENSMUSG00000032702/ENSMUSG00000038587/ENSMUSG00000022018/ENSMUSG00000032035/ENSMUSG00000035403/ENSMUSG00000026883/ENSMUSG00000016933/ENSMUSG00000030123/ENSMUSG00000045038/ENSMUSG00000059895/ENSMUSG00000020717/ENSMUSG00000021701/ENSMUSG00000039936/ENSMUSG00000029287/ENSMUSG00000074272/ENSMUSG00000059456/ENSMUSG00000029710/ENSMUSG00000026463	20
GO:0051056	regulation of small GTPase mediated signal transduction	15/342	273/21351	3.75837921137965e-05	0.0039478804732544	0.00348396061176041	ENSMUSG00000034312/ENSMUSG00000032702/ENSMUSG00000009621/ENSMUSG00000045281/ENSMUSG00000018008/ENSMUSG00000030766/ENSMUSG00000017132/ENSMUSG00000026883/ENSMUSG00000017631/ENSMUSG00000030047/ENSMUSG00000038807/ENSMUSG00000075254/ENSMUSG00000031785/ENSMUSG00000050350/ENSMUSG00000030583	15
GO:0051271	negative regulation of cellular component movement	16/342	306/21351	3.79187202425642e-05	0.0039478804732544	0.00348396061176041	ENSMUSG00000032702/ENSMUSG00000025373/ENSMUSG00000024544/ENSMUSG00000022018/ENSMUSG00000026883/ENSMUSG00000017631/ENSMUSG00000074238/ENSMUSG00000031785/ENSMUSG00000029287/ENSMUSG00000025314/ENSMUSG00000068015/ENSMUSG00000028211/ENSMUSG00000063410/ENSMUSG00000050350/ENSMUSG00000069255/ENSMUSG00000026463	16
GO:0002685	regulation of leukocyte migration	13/342	216/21351	4.88518380498844e-05	0.00494489160704941	0.00436381184919289	ENSMUSG00000029082/ENSMUSG00000037944/ENSMUSG00000017631/ENSMUSG00000020717/ENSMUSG00000025314/ENSMUSG00000020272/ENSMUSG00000068015/ENSMUSG00000059456/ENSMUSG00000050350/ENSMUSG00000039145/ENSMUSG00000020702/ENSMUSG00000032380/ENSMUSG00000031451	13
GO:0043542	endothelial cell migration	13/342	219/21351	5.62839898587159e-05	0.00554321240662596	0.00489182330066506	ENSMUSG00000022018/ENSMUSG00000032035/ENSMUSG00000026883/ENSMUSG00000016933/ENSMUSG00000030123/ENSMUSG00000059895/ENSMUSG00000020717/ENSMUSG00000021701/ENSMUSG00000039936/ENSMUSG00000074272/ENSMUSG00000059456/ENSMUSG00000029710/ENSMUSG00000026463	13
GO:0030336	negative regulation of cell migration	15/342	284/21351	5.89421081194252e-05	0.00565223794703119	0.004988037127558	ENSMUSG00000032702/ENSMUSG00000025373/ENSMUSG00000024544/ENSMUSG00000022018/ENSMUSG00000026883/ENSMUSG00000017631/ENSMUSG00000031785/ENSMUSG00000029287/ENSMUSG00000025314/ENSMUSG00000068015/ENSMUSG00000028211/ENSMUSG00000063410/ENSMUSG00000050350/ENSMUSG00000069255/ENSMUSG00000026463	15
GO:0050854	regulation of antigen receptor-mediated signaling pathway	7/342	63/21351	6.51982744937287e-05	0.00609185928859352	0.00537599807228991	ENSMUSG00000037944/ENSMUSG00000030724/ENSMUSG00000025314/ENSMUSG00000069255/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000052889	7
GO:0097193	intrinsic apoptotic signaling pathway	15/342	299/21351	0.000104844888988714	0.0095513693868718	0.00842897725948736	ENSMUSG00000024807/ENSMUSG00000007659/ENSMUSG00000026278/ENSMUSG00000027246/ENSMUSG00000031668/ENSMUSG00000005312/ENSMUSG00000022838/ENSMUSG00000021070/ENSMUSG00000026883/ENSMUSG00000038967/ENSMUSG00000004637/ENSMUSG00000063410/ENSMUSG00000038612/ENSMUSG00000032380/ENSMUSG00000021054	15
GO:0033151	V(D)J recombination	4/342	17/21351	0.000130536293443844	0.011601811056326	0.0102384692290358	ENSMUSG00000000782/ENSMUSG00000022471/ENSMUSG00000020167/ENSMUSG00000030067	4
GO:0002688	regulation of leukocyte chemotaxis	9/342	121/21351	0.000146409809669142	0.0127027939627227	0.0112100743994794	ENSMUSG00000029082/ENSMUSG00000037944/ENSMUSG00000025314/ENSMUSG00000059456/ENSMUSG00000050350/ENSMUSG00000039145/ENSMUSG00000020702/ENSMUSG00000032380/ENSMUSG00000031451	9
GO:0050855	regulation of B cell receptor signaling pathway	4/342	18/21351	0.000165720423520736	0.0140438424025479	0.0123935347333133	ENSMUSG00000030724/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000052889	4
GO:0007159	leukocyte cell-cell adhesion	16/342	352/21351	0.000193934429529094	0.0157043791378671	0.0138589399347692	ENSMUSG00000017009/ENSMUSG00000029554/ENSMUSG00000032035/ENSMUSG00000037944/ENSMUSG00000020717/ENSMUSG00000037104/ENSMUSG00000048163/ENSMUSG00000090958/ENSMUSG00000006574/ENSMUSG00000000732/ENSMUSG00000074272/ENSMUSG00000020272/ENSMUSG00000007817/ENSMUSG00000069255/ENSMUSG00000029710/ENSMUSG00000068105	16
GO:0007265	Ras protein signal transduction	16/342	352/21351	0.000193934429529094	0.0157043791378671	0.0138589399347692	ENSMUSG00000034312/ENSMUSG00000032702/ENSMUSG00000009621/ENSMUSG00000045281/ENSMUSG00000018008/ENSMUSG00000030766/ENSMUSG00000017132/ENSMUSG00000026883/ENSMUSG00000055926/ENSMUSG00000017631/ENSMUSG00000020717/ENSMUSG00000075254/ENSMUSG00000021701/ENSMUSG00000031785/ENSMUSG00000050350/ENSMUSG00000035711	16
GO:0019932	second-messenger-mediated signaling	15/342	318/21351	0.000205571038105247	0.0162848013664244	0.0143711560963737	ENSMUSG00000110195/ENSMUSG00000031668/ENSMUSG00000029082/ENSMUSG00000049044/ENSMUSG00000037944/ENSMUSG00000026237/ENSMUSG00000016933/ENSMUSG00000038967/ENSMUSG00000021933/ENSMUSG00000052949/ENSMUSG00000074272/ENSMUSG00000025314/ENSMUSG00000059456/ENSMUSG00000030577/ENSMUSG00000026463	15
GO:0034122	negative regulation of toll-like receptor signaling pathway	5/342	35/21351	0.000223983352869274	0.017319731428079	0.0152844703659314	ENSMUSG00000035900/ENSMUSG00000025017/ENSMUSG00000021356/ENSMUSG00000005312/ENSMUSG00000026883	5
GO:0002221	pattern recognition receptor signaling pathway	10/342	157/21351	0.000228141357998845	0.017319731428079	0.0152844703659314	ENSMUSG00000039316/ENSMUSG00000035900/ENSMUSG00000025017/ENSMUSG00000021356/ENSMUSG00000005312/ENSMUSG00000020124/ENSMUSG00000026883/ENSMUSG00000045038/ENSMUSG00000046688/ENSMUSG00000019768	10
GO:0019722	calcium-mediated signaling	11/342	192/21351	0.000282678390300675	0.0210220419235849	0.0185517182034063	ENSMUSG00000031668/ENSMUSG00000029082/ENSMUSG00000037944/ENSMUSG00000026237/ENSMUSG00000016933/ENSMUSG00000038967/ENSMUSG00000074272/ENSMUSG00000025314/ENSMUSG00000059456/ENSMUSG00000030577/ENSMUSG00000026463	11
GO:0002366	leukocyte activation involved in immune response	14/342	297/21351	0.000334732674640155	0.0243953173277745	0.0215285962321194	ENSMUSG00000032053/ENSMUSG00000021356/ENSMUSG00000025867/ENSMUSG00000037944/ENSMUSG00000015314/ENSMUSG00000017631/ENSMUSG00000045038/ENSMUSG00000030724/ENSMUSG00000037104/ENSMUSG00000028217/ENSMUSG00000000732/ENSMUSG00000059456/ENSMUSG00000014453/ENSMUSG00000030067	14
GO:0002263	cell activation involved in immune response	14/342	301/21351	0.000382875298876577	0.0273568154726715	0.024142085409039	ENSMUSG00000032053/ENSMUSG00000021356/ENSMUSG00000025867/ENSMUSG00000037944/ENSMUSG00000015314/ENSMUSG00000017631/ENSMUSG00000045038/ENSMUSG00000030724/ENSMUSG00000037104/ENSMUSG00000028217/ENSMUSG00000000732/ENSMUSG00000059456/ENSMUSG00000014453/ENSMUSG00000030067	14
GO:0018105	peptidyl-serine phosphorylation	15/342	338/21351	0.000393209905258793	0.0275549402839046	0.0243169283515306	ENSMUSG00000022103/ENSMUSG00000031668/ENSMUSG00000042978/ENSMUSG00000028121/ENSMUSG00000021070/ENSMUSG00000038967/ENSMUSG00000045038/ENSMUSG00000021701/ENSMUSG00000038349/ENSMUSG00000057897/ENSMUSG00000039145/ENSMUSG00000026463/ENSMUSG00000031451/ENSMUSG00000052889/ENSMUSG00000042064	15
GO:0051480	regulation of cytosolic calcium ion concentration	16/342	378/21351	0.000427753866713489	0.0292939729897214	0.025851605373967	ENSMUSG00000045281/ENSMUSG00000026278/ENSMUSG00000021070/ENSMUSG00000037944/ENSMUSG00000016933/ENSMUSG00000030287/ENSMUSG00000024673/ENSMUSG00000045038/ENSMUSG00000022416/ENSMUSG00000030724/ENSMUSG00000022840/ENSMUSG00000059456/ENSMUSG00000050350/ENSMUSG00000020702/ENSMUSG00000026463/ENSMUSG00000019768	16
GO:0090269	fibroblast growth factor production	3/342	10/21351	0.000449684441177189	0.0292939729897214	0.025851605373967	ENSMUSG00000022018/ENSMUSG00000075254/ENSMUSG00000027474	3
GO:0090270	regulation of fibroblast growth factor production	3/342	10/21351	0.000449684441177189	0.0292939729897214	0.025851605373967	ENSMUSG00000022018/ENSMUSG00000075254/ENSMUSG00000027474	3
GO:1902547	regulation of cellular response to vascular endothelial growth factor stimulus	4/342	23/21351	0.00045018180225697	0.0292939729897214	0.025851605373967	ENSMUSG00000026883/ENSMUSG00000059895/ENSMUSG00000053477/ENSMUSG00000026463	4
GO:0046330	positive regulation of JNK cascade	7/342	86/21351	0.000462660556655352	0.0295778082184579	0.026102086806687	ENSMUSG00000026883/ENSMUSG00000040183/ENSMUSG00000074272/ENSMUSG00000059456/ENSMUSG00000069255/ENSMUSG00000060548/ENSMUSG00000022329	7
GO:0002224	toll-like receptor signaling pathway	8/342	113/21351	0.000475213141740926	0.0298564946293782	0.0263480244649461	ENSMUSG00000039316/ENSMUSG00000035900/ENSMUSG00000025017/ENSMUSG00000021356/ENSMUSG00000005312/ENSMUSG00000026883/ENSMUSG00000045038/ENSMUSG00000019768	8
GO:0010632	regulation of epithelial cell migration	12/342	238/21351	0.000485289956839096	0.0299728237749435	0.0264506836421666	ENSMUSG00000034312/ENSMUSG00000022018/ENSMUSG00000032035/ENSMUSG00000026883/ENSMUSG00000016933/ENSMUSG00000045038/ENSMUSG00000021701/ENSMUSG00000039936/ENSMUSG00000029287/ENSMUSG00000074272/ENSMUSG00000059456/ENSMUSG00000026463	12
GO:0006816	calcium ion transport	17/342	423/21351	0.000515304262038805	0.0312961455144901	0.02761850036015	ENSMUSG00000005312/ENSMUSG00000026237/ENSMUSG00000016933/ENSMUSG00000030287/ENSMUSG00000024673/ENSMUSG00000020882/ENSMUSG00000045038/ENSMUSG00000022416/ENSMUSG00000030724/ENSMUSG00000020577/ENSMUSG00000024065/ENSMUSG00000059456/ENSMUSG00000057897/ENSMUSG00000026407/ENSMUSG00000026463/ENSMUSG00000031451/ENSMUSG00000052889	17
GO:0046578	regulation of Ras protein signal transduction	12/342	242/21351	0.000562755325688613	0.0336177115870378	0.0296672566001503	ENSMUSG00000034312/ENSMUSG00000032702/ENSMUSG00000009621/ENSMUSG00000045281/ENSMUSG00000018008/ENSMUSG00000030766/ENSMUSG00000017132/ENSMUSG00000026883/ENSMUSG00000017631/ENSMUSG00000075254/ENSMUSG00000031785/ENSMUSG00000050350	12
GO:0003007	heart morphogenesis	13/342	279/21351	0.000603476992898098	0.0354688735825914	0.0313008864737468	ENSMUSG00000040732/ENSMUSG00000032187/ENSMUSG00000022587/ENSMUSG00000032744/ENSMUSG00000026572/ENSMUSG00000030123/ENSMUSG00000025231/ENSMUSG00000075254/ENSMUSG00000029478/ENSMUSG00000029287/ENSMUSG00000007817/ENSMUSG00000027474/ENSMUSG00000029710	13
GO:2001233	regulation of apoptotic signaling pathway	16/342	392/21351	0.000633508149200166	0.0366429158045303	0.0323369656776359	ENSMUSG00000024807/ENSMUSG00000007659/ENSMUSG00000026278/ENSMUSG00000027246/ENSMUSG00000031668/ENSMUSG00000005312/ENSMUSG00000021070/ENSMUSG00000026883/ENSMUSG00000040093/ENSMUSG00000004637/ENSMUSG00000042292/ENSMUSG00000028211/ENSMUSG00000038612/ENSMUSG00000057897/ENSMUSG00000032380/ENSMUSG00000022329	16
