ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0010810	regulation of cell-substrate adhesion	10/261	221/21351	0.00041004883694829	0.0976495642506492	0.0901068211162079	ENSMUSG00000006386/ENSMUSG00000024789/ENSMUSG00000001507/ENSMUSG00000074570/ENSMUSG00000068220/ENSMUSG00000040690/ENSMUSG00000017009/ENSMUSG00000045038/ENSMUSG00000027111/ENSMUSG00000069255	10
BP	GO:0048872	homeostasis of number of cells	13/261	351/21351	0.00041108948680649	0.0976495642506492	0.0901068211162079	ENSMUSG00000027660/ENSMUSG00000038855/ENSMUSG00000006705/ENSMUSG00000024789/ENSMUSG00000006574/ENSMUSG00000020167/ENSMUSG00000044244/ENSMUSG00000018501/ENSMUSG00000040447/ENSMUSG00000032512/ENSMUSG00000035011/ENSMUSG00000033933/ENSMUSG00000006389	13
BP	GO:0007183	SMAD protein complex assembly	3/261	13/21351	0.00047167699335887	0.104038468249442	0.0960022271445459	ENSMUSG00000021096/ENSMUSG00000038400/ENSMUSG00000024563	3
BP	GO:0043276	anoikis	4/261	31/21351	0.000529518039865188	0.107112557555715	0.098838864638438	ENSMUSG00000007659/ENSMUSG00000027665/ENSMUSG00000032380/ENSMUSG00000003068	4
BP	GO:0046834	lipid phosphorylation	5/261	55/21351	0.000554987344848267	0.107112557555715	0.098838864638438	ENSMUSG00000038855/ENSMUSG00000026447/ENSMUSG00000020027/ENSMUSG00000027665/ENSMUSG00000040479	5
BP	GO:0032956	regulation of actin cytoskeleton organization	13/261	365/21351	0.000593253755731384	0.107762799864619	0.0994388802950376	ENSMUSG00000006386/ENSMUSG00000016028/ENSMUSG00000102805/ENSMUSG00000024381/ENSMUSG00000027665/ENSMUSG00000030691/ENSMUSG00000024236/ENSMUSG00000020580/ENSMUSG00000031827/ENSMUSG00000017009/ENSMUSG00000045038/ENSMUSG00000003283/ENSMUSG00000048895	13
BP	GO:0055075	potassium ion homeostasis	4/261	33/21351	0.000675570036819493	0.115897792983255	0.106945502319905	ENSMUSG00000044708/ENSMUSG00000032412/ENSMUSG00000040907/ENSMUSG00000031766	4
BP	GO:0090218	positive regulation of lipid kinase activity	4/261	34/21351	0.000758352968393766	0.121044958346529	0.111695085302718	ENSMUSG00000006386/ENSMUSG00000009621/ENSMUSG00000037062/ENSMUSG00000040479	4
BP	GO:0060766	negative regulation of androgen receptor signaling pathway	3/261	16/21351	0.000898833659560736	0.121044958346529	0.111695085302718	ENSMUSG00000025423/ENSMUSG00000018501/ENSMUSG00000035011	3
BP	GO:2001267	regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	3/261	16/21351	0.000898833659560736	0.121044958346529	0.111695085302718	ENSMUSG00000024789/ENSMUSG00000034686/ENSMUSG00000005718	3
BP	GO:0022407	regulation of cell-cell adhesion	14/261	432/21351	0.000927637935403239	0.121044958346529	0.111695085302718	ENSMUSG00000038855/ENSMUSG00000024789/ENSMUSG00000006574/ENSMUSG00000044244/ENSMUSG00000000791/ENSMUSG00000033767/ENSMUSG00000035000/ENSMUSG00000068220/ENSMUSG00000017009/ENSMUSG00000037992/ENSMUSG00000052085/ENSMUSG00000027111/ENSMUSG00000069255/ENSMUSG00000026494	14
BP	GO:0060292	long-term synaptic depression	4/261	36/21351	0.00094497855292971	0.121044958346529	0.111695085302718	ENSMUSG00000029093/ENSMUSG00000033174/ENSMUSG00000007659/ENSMUSG00000050556	4
BP	GO:0051647	nucleus localization	4/261	37/21351	0.00104944113372648	0.121044958346529	0.111695085302718	ENSMUSG00000096054/ENSMUSG00000065954/ENSMUSG00000024381/ENSMUSG00000044700	4
BP	GO:0016055	Wnt signaling pathway	14/261	438/21351	0.00105801722997419	0.121044958346529	0.111695085302718	ENSMUSG00000021096/ENSMUSG00000014039/ENSMUSG00000003345/ENSMUSG00000016028/ENSMUSG00000028163/ENSMUSG00000042428/ENSMUSG00000001507/ENSMUSG00000020844/ENSMUSG00000033767/ENSMUSG00000087370/ENSMUSG00000076361/ENSMUSG00000005124/ENSMUSG00000034177/ENSMUSG00000003068	14
BP	GO:0007264	small GTPase mediated signal transduction	14/261	439/21351	0.00108117835224425	0.121044958346529	0.111695085302718	ENSMUSG00000038855/ENSMUSG00000026594/ENSMUSG00000043811/ENSMUSG00000022102/ENSMUSG00000009621/ENSMUSG00000041977/ENSMUSG00000016028/ENSMUSG00000039713/ENSMUSG00000059013/ENSMUSG00000001507/ENSMUSG00000020580/ENSMUSG00000004952/ENSMUSG00000040479/ENSMUSG00000052085	14
BP	GO:0198738	cell-cell signaling by wnt	14/261	440/21351	0.00110476435580591	0.121044958346529	0.111695085302718	ENSMUSG00000021096/ENSMUSG00000014039/ENSMUSG00000003345/ENSMUSG00000016028/ENSMUSG00000028163/ENSMUSG00000042428/ENSMUSG00000001507/ENSMUSG00000020844/ENSMUSG00000033767/ENSMUSG00000087370/ENSMUSG00000076361/ENSMUSG00000005124/ENSMUSG00000034177/ENSMUSG00000003068	14
BP	GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	10/261	252/21351	0.0011261161774744	0.121044958346529	0.111695085302718	ENSMUSG00000027660/ENSMUSG00000021096/ENSMUSG00000034612/ENSMUSG00000024789/ENSMUSG00000038400/ENSMUSG00000030732/ENSMUSG00000001507/ENSMUSG00000024563/ENSMUSG00000035011/ENSMUSG00000003068	10
BP	GO:0001666	response to hypoxia	9/261	210/21351	0.00116092730225428	0.121044958346529	0.111695085302718	ENSMUSG00000006386/ENSMUSG00000057530/ENSMUSG00000001441/ENSMUSG00000035000/ENSMUSG00000033933/ENSMUSG00000020580/ENSMUSG00000078485/ENSMUSG00000028759/ENSMUSG00000045038	9
BP	GO:0010613	positive regulation of cardiac muscle hypertrophy	4/261	39/21351	0.00128221556240947	0.121044958346529	0.111695085302718	ENSMUSG00000057530/ENSMUSG00000020580/ENSMUSG00000005124/ENSMUSG00000009555	4
BP	GO:0007626	locomotory behavior	10/261	257/21351	0.00130469514527917	0.121044958346529	0.111695085302718	ENSMUSG00000044708/ENSMUSG00000034656/ENSMUSG00000016028/ENSMUSG00000041235/ENSMUSG00000018501/ENSMUSG00000035000/ENSMUSG00000040907/ENSMUSG00000060166/ENSMUSG00000012819/ENSMUSG00000045038	10
BP	GO:0007159	leukocyte cell-cell adhesion	12/261	352/21351	0.00138887881058053	0.121044958346529	0.111695085302718	ENSMUSG00000038855/ENSMUSG00000006574/ENSMUSG00000044244/ENSMUSG00000000791/ENSMUSG00000038843/ENSMUSG00000033767/ENSMUSG00000035000/ENSMUSG00000068220/ENSMUSG00000017009/ENSMUSG00000037992/ENSMUSG00000052085/ENSMUSG00000069255	12
BP	GO:0007265	Ras protein signal transduction	12/261	352/21351	0.00138887881058053	0.121044958346529	0.111695085302718	ENSMUSG00000038855/ENSMUSG00000026594/ENSMUSG00000043811/ENSMUSG00000022102/ENSMUSG00000009621/ENSMUSG00000041977/ENSMUSG00000016028/ENSMUSG00000039713/ENSMUSG00000001507/ENSMUSG00000020580/ENSMUSG00000004952/ENSMUSG00000040479	12
BP	GO:0042391	regulation of membrane potential	14/261	451/21351	0.00139404355295387	0.121044958346529	0.111695085302718	ENSMUSG00000044708/ENSMUSG00000028124/ENSMUSG00000096054/ENSMUSG00000054342/ENSMUSG00000034656/ENSMUSG00000050138/ENSMUSG00000007659/ENSMUSG00000032412/ENSMUSG00000024381/ENSMUSG00000040907/ENSMUSG00000042589/ENSMUSG00000050556/ENSMUSG00000045038/ENSMUSG00000026514	14
BP	GO:0045786	negative regulation of cell cycle	14/261	451/21351	0.00139404355295387	0.121044958346529	0.111695085302718	ENSMUSG00000027660/ENSMUSG00000030094/ENSMUSG00000007659/ENSMUSG00000024381/ENSMUSG00000021285/ENSMUSG00000005718/ENSMUSG00000037461/ENSMUSG00000047409/ENSMUSG00000029207/ENSMUSG00000003068/ENSMUSG00000009555/ENSMUSG00000040479/ENSMUSG00000030498/ENSMUSG00000048895	14
BP	GO:0014742	positive regulation of muscle hypertrophy	4/261	40/21351	0.00141114588745953	0.121044958346529	0.111695085302718	ENSMUSG00000057530/ENSMUSG00000020580/ENSMUSG00000005124/ENSMUSG00000009555	4
BP	GO:0030111	regulation of Wnt signaling pathway	11/261	309/21351	0.00155018613479642	0.129377696871658	0.119384178290011	ENSMUSG00000021096/ENSMUSG00000014039/ENSMUSG00000003345/ENSMUSG00000028163/ENSMUSG00000001507/ENSMUSG00000020844/ENSMUSG00000033767/ENSMUSG00000087370/ENSMUSG00000005124/ENSMUSG00000034177/ENSMUSG00000003068	11
BP	GO:0045833	negative regulation of lipid metabolic process	6/261	103/21351	0.00167556883981618	0.130462662691814	0.120385338119287	ENSMUSG00000040564/ENSMUSG00000028163/ENSMUSG00000030527/ENSMUSG00000018501/ENSMUSG00000042010/ENSMUSG00000003068	6
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	11/261	314/21351	0.0017590144041324	0.130462662691814	0.120385338119287	ENSMUSG00000038855/ENSMUSG00000006574/ENSMUSG00000044244/ENSMUSG00000000791/ENSMUSG00000033767/ENSMUSG00000035000/ENSMUSG00000068220/ENSMUSG00000017009/ENSMUSG00000037992/ENSMUSG00000052085/ENSMUSG00000069255	11
BP	GO:0010611	regulation of cardiac muscle hypertrophy	5/261	71/21351	0.00177316298223597	0.130462662691814	0.120385338119287	ENSMUSG00000038518/ENSMUSG00000057530/ENSMUSG00000020580/ENSMUSG00000005124/ENSMUSG00000009555	5
BP	GO:0030512	negative regulation of transforming growth factor beta receptor signaling pathway	5/261	71/21351	0.00177316298223597	0.130462662691814	0.120385338119287	ENSMUSG00000027660/ENSMUSG00000021096/ENSMUSG00000034612/ENSMUSG00000038400/ENSMUSG00000035011	5
BP	GO:0032970	regulation of actin filament-based process	13/261	412/21351	0.00177442740707778	0.130462662691814	0.120385338119287	ENSMUSG00000006386/ENSMUSG00000016028/ENSMUSG00000102805/ENSMUSG00000024381/ENSMUSG00000027665/ENSMUSG00000030691/ENSMUSG00000024236/ENSMUSG00000020580/ENSMUSG00000031827/ENSMUSG00000017009/ENSMUSG00000045038/ENSMUSG00000003283/ENSMUSG00000048895	13
BP	GO:0043087	regulation of GTPase activity	11/261	318/21351	0.00194214612171439	0.132198789439153	0.12198736126663	ENSMUSG00000043811/ENSMUSG00000009621/ENSMUSG00000026721/ENSMUSG00000024381/ENSMUSG00000051864/ENSMUSG00000021219/ENSMUSG00000040247/ENSMUSG00000004952/ENSMUSG00000063506/ENSMUSG00000052085/ENSMUSG00000027111	11
BP	GO:0032535	regulation of cellular component size	13/261	417/21351	0.0019720665003556	0.132198789439153	0.12198736126663	ENSMUSG00000054342/ENSMUSG00000033174/ENSMUSG00000043811/ENSMUSG00000102805/ENSMUSG00000024381/ENSMUSG00000027665/ENSMUSG00000030691/ENSMUSG00000024236/ENSMUSG00000031827/ENSMUSG00000031766/ENSMUSG00000028759/ENSMUSG00000045038/ENSMUSG00000048895	13
BP	GO:0048813	dendrite morphogenesis	8/261	184/21351	0.00197367338134478	0.132198789439153	0.12198736126663	ENSMUSG00000096054/ENSMUSG00000034656/ENSMUSG00000037062/ENSMUSG00000025423/ENSMUSG00000042589/ENSMUSG00000020580/ENSMUSG00000003068/ENSMUSG00000048895	8
BP	GO:0046854	phosphatidylinositol phosphorylation	4/261	44/21351	0.00201765401470266	0.132198789439153	0.12198736126663	ENSMUSG00000038855/ENSMUSG00000026447/ENSMUSG00000020027/ENSMUSG00000027665	4
BP	GO:0043547	positive regulation of GTPase activity	9/261	228/21351	0.00204330624365718	0.132198789439153	0.12198736126663	ENSMUSG00000043811/ENSMUSG00000026721/ENSMUSG00000024381/ENSMUSG00000051864/ENSMUSG00000021219/ENSMUSG00000040247/ENSMUSG00000063506/ENSMUSG00000052085/ENSMUSG00000027111	9
BP	GO:0030099	myeloid cell differentiation	13/261	419/21351	0.00205605016938238	0.132198789439153	0.12198736126663	ENSMUSG00000038855/ENSMUSG00000006705/ENSMUSG00000027583/ENSMUSG00000024789/ENSMUSG00000006574/ENSMUSG00000020167/ENSMUSG00000026721/ENSMUSG00000056724/ENSMUSG00000018501/ENSMUSG00000035011/ENSMUSG00000005124/ENSMUSG00000037992/ENSMUSG00000006389	13
BP	GO:0014743	regulation of muscle hypertrophy	5/261	74/21351	0.00212987678854907	0.132198789439153	0.12198736126663	ENSMUSG00000038518/ENSMUSG00000057530/ENSMUSG00000020580/ENSMUSG00000005124/ENSMUSG00000009555	5
BP	GO:0050863	regulation of T cell activation	11/261	322/21351	0.00214052444040079	0.132198789439153	0.12198736126663	ENSMUSG00000038855/ENSMUSG00000006574/ENSMUSG00000044244/ENSMUSG00000000791/ENSMUSG00000033767/ENSMUSG00000035000/ENSMUSG00000068220/ENSMUSG00000017009/ENSMUSG00000037992/ENSMUSG00000052085/ENSMUSG00000069255	11
BP	GO:0002262	myeloid cell homeostasis	8/261	190/21351	0.00240923971264266	0.145877102600794	0.134609120786866	ENSMUSG00000038855/ENSMUSG00000006705/ENSMUSG00000024789/ENSMUSG00000006574/ENSMUSG00000020167/ENSMUSG00000018501/ENSMUSG00000035011/ENSMUSG00000006389	8
BP	GO:0036293	response to decreased oxygen levels	9/261	237/21351	0.00265105154403365	0.157173496582394	0.14503294765767	ENSMUSG00000006386/ENSMUSG00000057530/ENSMUSG00000001441/ENSMUSG00000035000/ENSMUSG00000033933/ENSMUSG00000020580/ENSMUSG00000078485/ENSMUSG00000028759/ENSMUSG00000045038	9
BP	GO:0070839	metal ion export	4/261	48/21351	0.00278393772046781	0.157173496582394	0.14503294765767	ENSMUSG00000054342/ENSMUSG00000032412/ENSMUSG00000040907/ENSMUSG00000050556	4
BP	GO:1990573	potassium ion import across plasma membrane	4/261	48/21351	0.00278393772046781	0.157173496582394	0.14503294765767	ENSMUSG00000044708/ENSMUSG00000032412/ENSMUSG00000040907/ENSMUSG00000031766	4
BP	GO:0006470	protein dephosphorylation	9/261	239/21351	0.00280379127577805	0.157173496582394	0.14503294765767	ENSMUSG00000021096/ENSMUSG00000052144/ENSMUSG00000059895/ENSMUSG00000024789/ENSMUSG00000031506/ENSMUSG00000020580/ENSMUSG00000003068/ENSMUSG00000069255/ENSMUSG00000014592	9
BP	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	12/261	384/21351	0.00285029657014704	0.157173496582394	0.14503294765767	ENSMUSG00000027660/ENSMUSG00000021096/ENSMUSG00000034612/ENSMUSG00000024789/ENSMUSG00000038400/ENSMUSG00000030732/ENSMUSG00000001507/ENSMUSG00000024563/ENSMUSG00000035011/ENSMUSG00000034161/ENSMUSG00000003068/ENSMUSG00000069255	12
BP	GO:0006109	regulation of carbohydrate metabolic process	8/261	199/21351	0.00320002729090346	0.173362882005436	0.159971816740086	ENSMUSG00000006574/ENSMUSG00000028163/ENSMUSG00000016194/ENSMUSG00000018501/ENSMUSG00000042010/ENSMUSG00000035011/ENSMUSG00000003068/ENSMUSG00000045038	8
BP	GO:0071805	potassium ion transmembrane transport	8/261	201/21351	0.00340040179505152	0.175190250500022	0.161658033850409	ENSMUSG00000044708/ENSMUSG00000054342/ENSMUSG00000050138/ENSMUSG00000032412/ENSMUSG00000024381/ENSMUSG00000040907/ENSMUSG00000031766/ENSMUSG00000050556	8
BP	GO:1902115	regulation of organelle assembly	8/261	201/21351	0.00340040179505152	0.175190250500022	0.161658033850409	ENSMUSG00000096054/ENSMUSG00000059248/ENSMUSG00000046985/ENSMUSG00000037062/ENSMUSG00000040412/ENSMUSG00000017009/ENSMUSG00000040860/ENSMUSG00000003283	8
BP	GO:0060765	regulation of androgen receptor signaling pathway	3/261	25/21351	0.00340395564443047	0.175190250500022	0.161658033850409	ENSMUSG00000025423/ENSMUSG00000018501/ENSMUSG00000035011	3
BP	GO:0050805	negative regulation of synaptic transmission	5/261	83/21351	0.00351341757873572	0.17785956529731	0.164121162823772	ENSMUSG00000096054/ENSMUSG00000029093/ENSMUSG00000033174/ENSMUSG00000007659/ENSMUSG00000050556	5
BP	GO:0000910	cytokinesis	7/261	161/21351	0.00372685669640015	0.185621507717478	0.171283549697032	ENSMUSG00000059248/ENSMUSG00000037062/ENSMUSG00000007659/ENSMUSG00000024068/ENSMUSG00000020580/ENSMUSG00000068117/ENSMUSG00000045038	7
BP	GO:0071549	cellular response to dexamethasone stimulus	3/261	26/21351	0.00381352183398825	0.186923101958027	0.172484604922409	ENSMUSG00000024789/ENSMUSG00000005718/ENSMUSG00000028156	3
BP	GO:0043550	regulation of lipid kinase activity	4/261	53/21351	0.00399512379820333	0.19276472326331	0.177875002002243	ENSMUSG00000006386/ENSMUSG00000009621/ENSMUSG00000037062/ENSMUSG00000040479	4
BP	GO:0030258	lipid modification	9/261	253/21351	0.00407784939689857	0.193729214424966	0.178764992994404	ENSMUSG00000038855/ENSMUSG00000026447/ENSMUSG00000020027/ENSMUSG00000021460/ENSMUSG00000027665/ENSMUSG00000042010/ENSMUSG00000038732/ENSMUSG00000040479/ENSMUSG00000030168	9
BP	GO:0050995	negative regulation of lipid catabolic process	3/261	27/21351	0.00425185048541607	0.195965885059177	0.180828896528222	ENSMUSG00000040564/ENSMUSG00000030527/ENSMUSG00000042010	3
BP	GO:0051894	positive regulation of focal adhesion assembly	3/261	27/21351	0.00425185048541607	0.195965885059177	0.180828896528222	ENSMUSG00000006386/ENSMUSG00000040690/ENSMUSG00000017009	3
BP	GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	6/261	125/21351	0.00440450713582224	0.200016441697339	0.184566576109455	ENSMUSG00000027660/ENSMUSG00000021096/ENSMUSG00000034612/ENSMUSG00000038400/ENSMUSG00000030732/ENSMUSG00000035011	6
BP	GO:0034249	negative regulation of cellular amide metabolic process	7/261	168/21351	0.00470008421458261	0.207187111923617	0.191183362413837	ENSMUSG00000026254/ENSMUSG00000039652/ENSMUSG00000024381/ENSMUSG00000020580/ENSMUSG00000078485/ENSMUSG00000037992/ENSMUSG00000028156	7
BP	GO:0045724	positive regulation of cilium assembly	3/261	28/21351	0.00471951780302332	0.207187111923617	0.191183362413837	ENSMUSG00000059248/ENSMUSG00000046985/ENSMUSG00000040860	3
BP	GO:0016358	dendrite development	10/261	308/21351	0.00479921866081713	0.207187111923617	0.191183362413837	ENSMUSG00000096054/ENSMUSG00000034656/ENSMUSG00000037062/ENSMUSG00000039652/ENSMUSG00000025423/ENSMUSG00000069729/ENSMUSG00000042589/ENSMUSG00000020580/ENSMUSG00000003068/ENSMUSG00000048895	10
BP	GO:0019216	regulation of lipid metabolic process	11/261	359/21351	0.0048726522932021	0.207187111923617	0.191183362413837	ENSMUSG00000006386/ENSMUSG00000040564/ENSMUSG00000009621/ENSMUSG00000028163/ENSMUSG00000037062/ENSMUSG00000030527/ENSMUSG00000018501/ENSMUSG00000042010/ENSMUSG00000003068/ENSMUSG00000040479/ENSMUSG00000045038	11
BP	GO:1903131	mononuclear cell differentiation	13/261	465/21351	0.00496351577139065	0.207187111923617	0.191183362413837	ENSMUSG00000038855/ENSMUSG00000006705/ENSMUSG00000027583/ENSMUSG00000020167/ENSMUSG00000041235/ENSMUSG00000034686/ENSMUSG00000018501/ENSMUSG00000033767/ENSMUSG00000035011/ENSMUSG00000068220/ENSMUSG00000037992/ENSMUSG00000003068/ENSMUSG00000035247	13
BP	GO:0048814	regulation of dendrite morphogenesis	5/261	90/21351	0.00496497612770326	0.207187111923617	0.191183362413837	ENSMUSG00000096054/ENSMUSG00000037062/ENSMUSG00000025423/ENSMUSG00000042589/ENSMUSG00000003068	5
BP	GO:0140115	export across plasma membrane	4/261	57/21351	0.00518859866758708	0.21197761527153	0.195603833017464	ENSMUSG00000054342/ENSMUSG00000032412/ENSMUSG00000040907/ENSMUSG00000050556	4
BP	GO:0071548	response to dexamethasone	3/261	29/21351	0.00521706566082782	0.21197761527153	0.195603833017464	ENSMUSG00000024789/ENSMUSG00000005718/ENSMUSG00000028156	3
BP	GO:0010761	fibroblast migration	4/261	58/21351	0.0055203761079364	0.221388589887112	0.204287875928692	ENSMUSG00000044700/ENSMUSG00000017009/ENSMUSG00000045038/ENSMUSG00000030168	4
BP	GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	3/261	30/21351	0.00574500254088394	0.223233295331873	0.205990090831531	ENSMUSG00000006386/ENSMUSG00000009621/ENSMUSG00000037062	3
BP	GO:0022409	positive regulation of cell-cell adhesion	9/261	267/21351	0.00576570954929399	0.223233295331873	0.205990090831531	ENSMUSG00000038855/ENSMUSG00000006574/ENSMUSG00000000791/ENSMUSG00000035000/ENSMUSG00000068220/ENSMUSG00000037992/ENSMUSG00000052085/ENSMUSG00000027111/ENSMUSG00000026494	9
BP	GO:0030098	lymphocyte differentiation	12/261	420/21351	0.0057832459930537	0.223233295331873	0.205990090831531	ENSMUSG00000038855/ENSMUSG00000006705/ENSMUSG00000020167/ENSMUSG00000041235/ENSMUSG00000034686/ENSMUSG00000018501/ENSMUSG00000033767/ENSMUSG00000035011/ENSMUSG00000068220/ENSMUSG00000037992/ENSMUSG00000003068/ENSMUSG00000035247	12
BP	GO:0043470	regulation of carbohydrate catabolic process	4/261	59/21351	0.00586602762263898	0.223633250601348	0.206359152364961	ENSMUSG00000006574/ENSMUSG00000016194/ENSMUSG00000018501/ENSMUSG00000035011	4
BP	GO:0051495	positive regulation of cytoskeleton organization	8/261	222/21351	0.00614345922840002	0.223748829274395	0.206465803397119	ENSMUSG00000006386/ENSMUSG00000102805/ENSMUSG00000024381/ENSMUSG00000030691/ENSMUSG00000020580/ENSMUSG00000017009/ENSMUSG00000045038/ENSMUSG00000003283	8
BP	GO:0071156	regulation of cell cycle arrest	4/261	60/21351	0.00622580057315558	0.223748829274395	0.206465803397119	ENSMUSG00000024381/ENSMUSG00000005718/ENSMUSG00000009555/ENSMUSG00000048895	4
BP	GO:0033077	T cell differentiation in thymus	5/261	95/21351	0.00623254786298526	0.223748829274395	0.206465803397119	ENSMUSG00000038855/ENSMUSG00000020167/ENSMUSG00000034686/ENSMUSG00000033767/ENSMUSG00000003068	5
BP	GO:0007270	neuron-neuron synaptic transmission	2/261	10/21351	0.00627905131491642	0.223748829274395	0.206465803397119	ENSMUSG00000034656/ENSMUSG00000069729	2
BP	GO:0030853	negative regulation of granulocyte differentiation	2/261	10/21351	0.00627905131491642	0.223748829274395	0.206465803397119	ENSMUSG00000027583/ENSMUSG00000037992	2
BP	GO:0007097	nuclear migration	3/261	31/21351	0.00630380445170737	0.223748829274395	0.206465803397119	ENSMUSG00000096054/ENSMUSG00000065954/ENSMUSG00000044700	3
BP	GO:0014065	phosphatidylinositol 3-kinase signaling	6/261	135/21351	0.00638041875871878	0.223894694624132	0.206600401672868	ENSMUSG00000006386/ENSMUSG00000026447/ENSMUSG00000024789/ENSMUSG00000027665/ENSMUSG00000018501/ENSMUSG00000037992	6
BP	GO:1903829	positive regulation of cellular protein localization	9/261	272/21351	0.0064841690321223	0.224978808665097	0.207600775516914	ENSMUSG00000006386/ENSMUSG00000024789/ENSMUSG00000037062/ENSMUSG00000001507/ENSMUSG00000020580/ENSMUSG00000003068/ENSMUSG00000050556/ENSMUSG00000040860/ENSMUSG00000048895	9
BP	GO:0010770	positive regulation of cell morphogenesis involved in differentiation	5/261	97/21351	0.00679791832470401	0.228236743767345	0.210607058010023	ENSMUSG00000037062/ENSMUSG00000025423/ENSMUSG00000042589/ENSMUSG00000074570/ENSMUSG00000006389	5
BP	GO:0150117	positive regulation of cell-substrate junction organization	3/261	32/21351	0.00689391582716617	0.228236743767345	0.210607058010023	ENSMUSG00000006386/ENSMUSG00000040690/ENSMUSG00000017009	3
