ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0017014	protein nitrosylation	3/110	16/21351	7.09580054729346e-05	0.0137013457840466	0.0112582175190551	ENSMUSG00000038473/ENSMUSG00000056054/ENSMUSG00000056071	3
GO:0022407	regulation of cell-cell adhesion	10/110	432/21351	8.02110500499769e-05	0.0141973558588459	0.0116657825423563	ENSMUSG00000014453/ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000020125/ENSMUSG00000028289/ENSMUSG00000021360/ENSMUSG00000027009/ENSMUSG00000036006/ENSMUSG00000025880/ENSMUSG00000021457	10
GO:0042113	B cell activation	9/110	358/21351	9.93883093998259e-05	0.0153081579752324	0.0125785141852192	ENSMUSG00000014453/ENSMUSG00000026012/ENSMUSG00000003379/ENSMUSG00000004698/ENSMUSG00000076609/ENSMUSG00000026288/ENSMUSG00000008496/ENSMUSG00000022876/ENSMUSG00000021457	9
GO:0070486	leukocyte aggregation	3/110	18/21351	0.000102622308757028	0.0153081579752324	0.0125785141852192	ENSMUSG00000056054/ENSMUSG00000056071/ENSMUSG00000040152	3
GO:0050900	leukocyte migration	9/110	362/21351	0.000108108460277065	0.0153081579752324	0.0125785141852192	ENSMUSG00000020125/ENSMUSG00000027009/ENSMUSG00000020717/ENSMUSG00000036006/ENSMUSG00000056054/ENSMUSG00000056071/ENSMUSG00000029254/ENSMUSG00000021457/ENSMUSG00000040152	9
GO:0097529	myeloid leukocyte migration	7/110	219/21351	0.000141228358249644	0.0172927729662889	0.0142092464952459	ENSMUSG00000020717/ENSMUSG00000036006/ENSMUSG00000056054/ENSMUSG00000056071/ENSMUSG00000029254/ENSMUSG00000021457/ENSMUSG00000040152	7
GO:0097530	granulocyte migration	6/110	153/21351	0.00014237942050363	0.0172927729662889	0.0142092464952459	ENSMUSG00000020717/ENSMUSG00000036006/ENSMUSG00000056054/ENSMUSG00000056071/ENSMUSG00000021457/ENSMUSG00000040152	6
GO:1903131	mononuclear cell differentiation	10/110	465/21351	0.000146548923443127	0.0172927729662889	0.0142092464952459	ENSMUSG00000014453/ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000003379/ENSMUSG00000004698/ENSMUSG00000076609/ENSMUSG00000026288/ENSMUSG00000008496/ENSMUSG00000025880/ENSMUSG00000021457	10
GO:0042116	macrophage activation	5/110	99/21351	0.000161227950279732	0.0180235877049553	0.0148097474550579	ENSMUSG00000028076/ENSMUSG00000020009/ENSMUSG00000029254/ENSMUSG00000021457/ENSMUSG00000040152	5
GO:0030183	B cell differentiation	6/110	159/21351	0.000175593371011458	0.0186480160014168	0.0153228320598419	ENSMUSG00000003379/ENSMUSG00000004698/ENSMUSG00000076609/ENSMUSG00000026288/ENSMUSG00000008496/ENSMUSG00000021457	6
GO:0002523	leukocyte migration involved in inflammatory response	3/110	23/21351	0.000218585856681713	0.0215673853979361	0.0177216398997809	ENSMUSG00000020125/ENSMUSG00000056054/ENSMUSG00000056071	3
GO:0032103	positive regulation of response to external stimulus	9/110	400/21351	0.000228008127632095	0.0215673853979361	0.0177216398997809	ENSMUSG00000026012/ENSMUSG00000005533/ENSMUSG00000030165/ENSMUSG00000036006/ENSMUSG00000056054/ENSMUSG00000056071/ENSMUSG00000029254/ENSMUSG00000041488/ENSMUSG00000040152	9
GO:0018108	peptidyl-tyrosine phosphorylation	8/110	316/21351	0.000233545133781793	0.0215673853979361	0.0177216398997809	ENSMUSG00000022309/ENSMUSG00000014453/ENSMUSG00000028289/ENSMUSG00000005533/ENSMUSG00000020717/ENSMUSG00000022876/ENSMUSG00000029254/ENSMUSG00000021457	8
GO:0018212	peptidyl-tyrosine modification	8/110	319/21351	0.000248916201296903	0.0220290838147759	0.0181010114802748	ENSMUSG00000022309/ENSMUSG00000014453/ENSMUSG00000028289/ENSMUSG00000005533/ENSMUSG00000020717/ENSMUSG00000022876/ENSMUSG00000029254/ENSMUSG00000021457	8
GO:0032753	positive regulation of interleukin-4 production	3/110	25/21351	0.000281756920326593	0.0239380679509473	0.0196695989011154	ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000021457	3
GO:0050853	B cell receptor signaling pathway	5/110	115/21351	0.000324141880376899	0.0256674573712984	0.0210906156812433	ENSMUSG00000014453/ENSMUSG00000003379/ENSMUSG00000076609/ENSMUSG00000029254/ENSMUSG00000021457	5
GO:0030098	lymphocyte differentiation	9/110	420/21351	0.000326281237770743	0.0256674573712984	0.0210906156812433	ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000003379/ENSMUSG00000004698/ENSMUSG00000076609/ENSMUSG00000026288/ENSMUSG00000008496/ENSMUSG00000025880/ENSMUSG00000021457	9
GO:0002703	regulation of leukocyte mediated immunity	7/110	256/21351	0.000365721260093795	0.0277425698728293	0.0227957086178764	ENSMUSG00000014453/ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000030165/ENSMUSG00000025880/ENSMUSG00000029254/ENSMUSG00000021457	7
GO:0043032	positive regulation of macrophage activation	3/110	28/21351	0.000396833416185134	0.0290085549727777	0.0238359520987538	ENSMUSG00000028076/ENSMUSG00000029254/ENSMUSG00000040152	3
GO:1904019	epithelial cell apoptotic process	5/110	121/21351	0.000409725352722849	0.0290085549727777	0.0238359520987538	ENSMUSG00000022309/ENSMUSG00000005533/ENSMUSG00000027009/ENSMUSG00000018209/ENSMUSG00000040152	5
GO:1990266	neutrophil migration	5/110	124/21351	0.000458422617495975	0.0298463677750591	0.024524371974947	ENSMUSG00000020717/ENSMUSG00000036006/ENSMUSG00000056054/ENSMUSG00000056071/ENSMUSG00000021457	5
GO:0022409	positive regulation of cell-cell adhesion	7/110	267/21351	0.000470437852805471	0.0298463677750591	0.024524371974947	ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000020125/ENSMUSG00000021360/ENSMUSG00000027009/ENSMUSG00000025880/ENSMUSG00000021457	7
GO:0071621	granulocyte chemotaxis	5/110	125/21351	0.000475585859545347	0.0298463677750591	0.024524371974947	ENSMUSG00000036006/ENSMUSG00000056054/ENSMUSG00000056071/ENSMUSG00000021457/ENSMUSG00000040152	5
GO:0002429	immune response-activating cell surface receptor signaling pathway	7/110	268/21351	0.000481033416945112	0.0298463677750591	0.024524371974947	ENSMUSG00000014453/ENSMUSG00000026012/ENSMUSG00000003379/ENSMUSG00000076609/ENSMUSG00000030165/ENSMUSG00000029254/ENSMUSG00000021457	7
GO:0002757	immune response-activating signal transduction	7/110	269/21351	0.000491818678025927	0.0298463677750591	0.024524371974947	ENSMUSG00000014453/ENSMUSG00000026012/ENSMUSG00000003379/ENSMUSG00000076609/ENSMUSG00000030165/ENSMUSG00000029254/ENSMUSG00000021457	7
GO:0001819	positive regulation of cytokine production	9/110	450/21351	0.000537497674015376	0.0317123627669072	0.0260576357753653	ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000020125/ENSMUSG00000020009/ENSMUSG00000008496/ENSMUSG00000020275/ENSMUSG00000021457/ENSMUSG00000040152/ENSMUSG00000022708	9
GO:0045123	cellular extravasation	4/110	74/21351	0.000581504386198671	0.0330835500790601	0.0271843225448913	ENSMUSG00000020125/ENSMUSG00000027009/ENSMUSG00000020717/ENSMUSG00000036006	4
GO:0032673	regulation of interleukin-4 production	3/110	32/21351	0.000591890255651734	0.0330835500790601	0.0271843225448913	ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000021457	3
GO:0002768	immune response-regulating cell surface receptor signaling pathway	7/110	281/21351	0.000636951098558071	0.0346893367522395	0.0285037765562559	ENSMUSG00000014453/ENSMUSG00000026012/ENSMUSG00000003379/ENSMUSG00000076609/ENSMUSG00000030165/ENSMUSG00000029254/ENSMUSG00000021457	7
GO:0002764	immune response-regulating signaling pathway	7/110	284/21351	0.000678075719645595	0.0360058207131811	0.0295855142940104	ENSMUSG00000014453/ENSMUSG00000026012/ENSMUSG00000003379/ENSMUSG00000076609/ENSMUSG00000030165/ENSMUSG00000029254/ENSMUSG00000021457	7
GO:0050864	regulation of B cell activation	6/110	207/21351	0.000716540948383237	0.0371203164479511	0.0305012809350297	ENSMUSG00000014453/ENSMUSG00000026012/ENSMUSG00000076609/ENSMUSG00000026288/ENSMUSG00000022876/ENSMUSG00000021457	6
GO:0050869	negative regulation of B cell activation	3/110	36/21351	0.000839380157763377	0.0424486536926051	0.0348795063050546	ENSMUSG00000014453/ENSMUSG00000026288/ENSMUSG00000022876	3
GO:0002685	regulation of leukocyte migration	6/110	216/21351	0.000893932238787774	0.0439298271654712	0.0360965672714596	ENSMUSG00000020125/ENSMUSG00000027009/ENSMUSG00000020717/ENSMUSG00000036006/ENSMUSG00000029254/ENSMUSG00000040152	6
GO:0014002	astrocyte development	3/110	37/21351	0.000910034084407124	0.0439298271654712	0.0360965672714596	ENSMUSG00000020009/ENSMUSG00000056054/ENSMUSG00000056071	3
GO:0030595	leukocyte chemotaxis	6/110	219/21351	0.000960016573910042	0.045312782288554	0.0372329234980784	ENSMUSG00000036006/ENSMUSG00000056054/ENSMUSG00000056071/ENSMUSG00000029254/ENSMUSG00000021457/ENSMUSG00000040152	6
GO:0010543	regulation of platelet activation	3/110	38/21351	0.000984350414956269	0.0454513104645025	0.0373467502974255	ENSMUSG00000014453/ENSMUSG00000020120/ENSMUSG00000021457	3
GO:0019730	antimicrobial humoral response	5/110	149/21351	0.00105196734255841	0.0472926019353873	0.0388597155361642	ENSMUSG00000020125/ENSMUSG00000067149/ENSMUSG00000021880/ENSMUSG00000056071/ENSMUSG00000000983	5
GO:0019731	antibacterial humoral response	4/110	87/21351	0.00106875936577147	0.0472926019353873	0.0388597155361642	ENSMUSG00000020125/ENSMUSG00000067149/ENSMUSG00000021880/ENSMUSG00000000983	4
GO:0032633	interleukin-4 production	3/110	40/21351	0.00114425872765048	0.0479820474483316	0.0394262239415868	ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000021457	3
GO:0006971	hypotonic response	2/110	10/21351	0.00115211130878762	0.0479820474483316	0.0394262239415868	ENSMUSG00000027130/ENSMUSG00000096764	2
GO:0015696	ammonium transport	2/110	10/21351	0.00115211130878762	0.0479820474483316	0.0394262239415868	ENSMUSG00000027130/ENSMUSG00000096764	2
GO:1903037	regulation of leukocyte cell-cell adhesion	7/110	314/21351	0.00121649405969796	0.0486585889257611	0.0399821292689622	ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000020125/ENSMUSG00000027009/ENSMUSG00000036006/ENSMUSG00000025880/ENSMUSG00000021457	7
GO:0042326	negative regulation of phosphorylation	8/110	408/21351	0.00124760541652194	0.0486585889257611	0.0399821292689622	ENSMUSG00000022309/ENSMUSG00000019960/ENSMUSG00000005533/ENSMUSG00000020717/ENSMUSG00000022876/ENSMUSG00000025880/ENSMUSG00000022114/ENSMUSG00000029254	8
GO:0031343	positive regulation of cell killing	4/110	91/21351	0.00126323672096336	0.0486585889257611	0.0399821292689622	ENSMUSG00000028076/ENSMUSG00000030165/ENSMUSG00000029254/ENSMUSG00000021457	4
GO:2001235	positive regulation of apoptotic signaling pathway	5/110	156/21351	0.00129032762167387	0.0486585889257611	0.0399821292689622	ENSMUSG00000056054/ENSMUSG00000056071/ENSMUSG00000018209/ENSMUSG00000040152/ENSMUSG00000028211	5
GO:0050670	regulation of lymphocyte proliferation	6/110	232/21351	0.00129092108193286	0.0486585889257611	0.0399821292689622	ENSMUSG00000014453/ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000026288/ENSMUSG00000036006/ENSMUSG00000021457	6
GO:0046651	lymphocyte proliferation	7/110	320/21351	0.00135613076067784	0.0486585889257611	0.0399821292689622	ENSMUSG00000014453/ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000003379/ENSMUSG00000026288/ENSMUSG00000036006/ENSMUSG00000021457	7
GO:0002274	myeloid leukocyte activation	6/110	235/21351	0.00137835372329503	0.0486585889257611	0.0399821292689622	ENSMUSG00000014453/ENSMUSG00000028076/ENSMUSG00000020009/ENSMUSG00000029254/ENSMUSG00000021457/ENSMUSG00000040152	6
GO:0032944	regulation of mononuclear cell proliferation	6/110	235/21351	0.00137835372329503	0.0486585889257611	0.0399821292689622	ENSMUSG00000014453/ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000026288/ENSMUSG00000036006/ENSMUSG00000021457	6
GO:0050851	antigen receptor-mediated signaling pathway	6/110	235/21351	0.00137835372329503	0.0486585889257611	0.0399821292689622	ENSMUSG00000014453/ENSMUSG00000026012/ENSMUSG00000003379/ENSMUSG00000076609/ENSMUSG00000029254/ENSMUSG00000021457	6
GO:1903238	positive regulation of leukocyte tethering or rolling	2/110	11/21351	0.001403401857167	0.0486585889257611	0.0399821292689622	ENSMUSG00000020125/ENSMUSG00000027009	2
GO:0032943	mononuclear cell proliferation	7/110	323/21351	0.00143049863015626	0.0486585889257611	0.0399821292689622	ENSMUSG00000014453/ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000003379/ENSMUSG00000026288/ENSMUSG00000036006/ENSMUSG00000021457	7
GO:0051250	negative regulation of lymphocyte activation	5/110	160/21351	0.00144326323084885	0.0486585889257611	0.0399821292689622	ENSMUSG00000014453/ENSMUSG00000026288/ENSMUSG00000036006/ENSMUSG00000022876/ENSMUSG00000025880	5
GO:1904035	regulation of epithelial cell apoptotic process	4/110	96/21351	0.0015395526084315	0.0510939021923204	0.0419831944865037	ENSMUSG00000022309/ENSMUSG00000005533/ENSMUSG00000027009/ENSMUSG00000040152	4
GO:0032147	activation of protein kinase activity	6/110	241/21351	0.00156673352742741	0.0511960309577818	0.0420671123639619	ENSMUSG00000022309/ENSMUSG00000032740/ENSMUSG00000020189/ENSMUSG00000018209/ENSMUSG00000021457/ENSMUSG00000040152	6
GO:0050867	positive regulation of cell activation	8/110	426/21351	0.00163818734428572	0.052216328108327	0.0429054772542404	ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000076609/ENSMUSG00000026288/ENSMUSG00000020120/ENSMUSG00000029254/ENSMUSG00000021457/ENSMUSG00000040152	8
GO:0003157	endocardium development	2/110	12/21351	0.00167842252331086	0.052216328108327	0.0429054772542404	ENSMUSG00000022309/ENSMUSG00000018209	2
GO:0002697	regulation of immune effector process	8/110	429/21351	0.00171179506203472	0.052216328108327	0.0429054772542404	ENSMUSG00000022309/ENSMUSG00000014453/ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000030165/ENSMUSG00000025880/ENSMUSG00000029254/ENSMUSG00000021457	8
GO:0032680	regulation of tumor necrosis factor production	5/110	167/21351	0.00174249782184944	0.052216328108327	0.0429054772542404	ENSMUSG00000022309/ENSMUSG00000020009/ENSMUSG00000021457/ENSMUSG00000040152/ENSMUSG00000022708	5
GO:0007596	blood coagulation	5/110	168/21351	0.00178869115758054	0.052216328108327	0.0429054772542404	ENSMUSG00000014453/ENSMUSG00000020120/ENSMUSG00000056071/ENSMUSG00000021457/ENSMUSG00000040152	5
GO:0030593	neutrophil chemotaxis	4/110	100/21351	0.00178893660702571	0.052216328108327	0.0429054772542404	ENSMUSG00000036006/ENSMUSG00000056054/ENSMUSG00000056071/ENSMUSG00000021457	4
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	5/110	169/21351	0.00183577660401271	0.052216328108327	0.0429054772542404	ENSMUSG00000022309/ENSMUSG00000020009/ENSMUSG00000021457/ENSMUSG00000040152/ENSMUSG00000022708	5
GO:0032760	positive regulation of tumor necrosis factor production	4/110	101/21351	0.00185540395090013	0.052216328108327	0.0429054772542404	ENSMUSG00000020009/ENSMUSG00000021457/ENSMUSG00000040152/ENSMUSG00000022708	4
GO:0007599	hemostasis	5/110	170/21351	0.00188376445313053	0.052216328108327	0.0429054772542404	ENSMUSG00000014453/ENSMUSG00000020120/ENSMUSG00000056071/ENSMUSG00000021457/ENSMUSG00000040152	5
GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	4/110	102/21351	0.0019235643049971	0.052216328108327	0.0429054772542404	ENSMUSG00000020009/ENSMUSG00000021457/ENSMUSG00000040152/ENSMUSG00000022708	4
GO:0050817	coagulation	5/110	171/21351	0.00193266501483	0.052216328108327	0.0429054772542404	ENSMUSG00000014453/ENSMUSG00000020120/ENSMUSG00000056071/ENSMUSG00000021457/ENSMUSG00000040152	5
GO:0007520	myoblast fusion	3/110	48/21351	0.00194421444262292	0.052216328108327	0.0429054772542404	ENSMUSG00000040747/ENSMUSG00000036006/ENSMUSG00000035168	3
GO:0018198	peptidyl-cysteine modification	3/110	48/21351	0.00194421444262292	0.052216328108327	0.0429054772542404	ENSMUSG00000038473/ENSMUSG00000056054/ENSMUSG00000056071	3
GO:0070663	regulation of leukocyte proliferation	6/110	252/21351	0.00196234768973195	0.052216328108327	0.0429054772542404	ENSMUSG00000014453/ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000026288/ENSMUSG00000036006/ENSMUSG00000021457	6
GO:0007264	small GTPase mediated signal transduction	8/110	439/21351	0.00197628347568141	0.052216328108327	0.0429054772542404	ENSMUSG00000004568/ENSMUSG00000029673/ENSMUSG00000032740/ENSMUSG00000025531/ENSMUSG00000035711/ENSMUSG00000020717/ENSMUSG00000036006/ENSMUSG00000022114	8
GO:0032640	tumor necrosis factor production	5/110	173/21351	0.00203324559962669	0.052216328108327	0.0429054772542404	ENSMUSG00000022309/ENSMUSG00000020009/ENSMUSG00000021457/ENSMUSG00000040152/ENSMUSG00000022708	5
GO:0002820	negative regulation of adaptive immune response	3/110	49/21351	0.00206330281642141	0.052216328108327	0.0429054772542404	ENSMUSG00000030165/ENSMUSG00000022876/ENSMUSG00000025880	3
GO:0002444	myeloid leukocyte mediated immunity	4/110	104/21351	0.00206505252405813	0.052216328108327	0.0429054772542404	ENSMUSG00000014453/ENSMUSG00000020125/ENSMUSG00000029254/ENSMUSG00000021457	4
GO:0046634	regulation of alpha-beta T cell activation	4/110	104/21351	0.00206505252405813	0.052216328108327	0.0429054772542404	ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000025880/ENSMUSG00000021457	4
GO:0070661	leukocyte proliferation	7/110	348/21351	0.00218168486272736	0.0534960038603425	0.0439569701657488	ENSMUSG00000014453/ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000003379/ENSMUSG00000026288/ENSMUSG00000036006/ENSMUSG00000021457	7
GO:0070527	platelet aggregation	3/110	50/21351	0.00218683514487154	0.0534960038603425	0.0439569701657488	ENSMUSG00000014453/ENSMUSG00000020120/ENSMUSG00000021457	3
GO:0071706	tumor necrosis factor superfamily cytokine production	5/110	176/21351	0.00219122049710443	0.0534960038603425	0.0439569701657488	ENSMUSG00000022309/ENSMUSG00000020009/ENSMUSG00000021457/ENSMUSG00000040152/ENSMUSG00000022708	5
GO:0031532	actin cytoskeleton reorganization	4/110	107/21351	0.00229053372925447	0.0548273096789813	0.0450508868310789	ENSMUSG00000029673/ENSMUSG00000020120/ENSMUSG00000056071/ENSMUSG00000029254	4
GO:0002699	positive regulation of immune effector process	6/110	261/21351	0.00233882983705261	0.0548273096789813	0.0450508868310789	ENSMUSG00000014453/ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000030165/ENSMUSG00000029254/ENSMUSG00000021457	6
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	6/110	261/21351	0.00233882983705261	0.0548273096789813	0.0450508868310789	ENSMUSG00000022309/ENSMUSG00000028289/ENSMUSG00000020717/ENSMUSG00000022876/ENSMUSG00000029254/ENSMUSG00000021457	6
GO:0002253	activation of immune response	7/110	353/21351	0.00236300935513234	0.0548273096789813	0.0450508868310789	ENSMUSG00000014453/ENSMUSG00000026012/ENSMUSG00000003379/ENSMUSG00000076609/ENSMUSG00000030165/ENSMUSG00000029254/ENSMUSG00000021457	7
GO:0001933	negative regulation of protein phosphorylation	7/110	354/21351	0.00240063079102884	0.0548273096789813	0.0450508868310789	ENSMUSG00000022309/ENSMUSG00000019960/ENSMUSG00000005533/ENSMUSG00000020717/ENSMUSG00000022876/ENSMUSG00000025880/ENSMUSG00000022114	7
GO:0007517	muscle organ development	7/110	354/21351	0.00240063079102884	0.0548273096789813	0.0450508868310789	ENSMUSG00000022309/ENSMUSG00000026141/ENSMUSG00000004151/ENSMUSG00000004698/ENSMUSG00000003949/ENSMUSG00000036006/ENSMUSG00000025880	7
GO:0045124	regulation of bone resorption	3/110	52/21351	0.00244745780550413	0.0553021316903275	0.0454410418983858	ENSMUSG00000027562/ENSMUSG00000026288/ENSMUSG00000021457	3
GO:0032717	negative regulation of interleukin-8 production	2/110	15/21351	0.00264340757727331	0.0578824504549332	0.0475612562465453	ENSMUSG00000029994/ENSMUSG00000020125	2
GO:1902043	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	2/110	15/21351	0.00264340757727331	0.0578824504549332	0.0475612562465453	ENSMUSG00000018209/ENSMUSG00000040152	2
GO:1903236	regulation of leukocyte tethering or rolling	2/110	15/21351	0.00264340757727331	0.0578824504549332	0.0475612562465453	ENSMUSG00000020125/ENSMUSG00000027009	2
GO:0001959	regulation of cytokine-mediated signaling pathway	4/110	112/21351	0.00270312002737176	0.0583244572045313	0.0479244474403375	ENSMUSG00000022309/ENSMUSG00000048249/ENSMUSG00000029254/ENSMUSG00000021457	4
GO:0002449	lymphocyte mediated immunity	7/110	362/21351	0.00271851283580443	0.0583244572045313	0.0479244474403375	ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000076609/ENSMUSG00000026288/ENSMUSG00000030165/ENSMUSG00000008496/ENSMUSG00000025880	7
GO:0009749	response to glucose	5/110	187/21351	0.00284767112307215	0.0604205090401119	0.049646745955251	ENSMUSG00000005533/ENSMUSG00000025959/ENSMUSG00000020546/ENSMUSG00000040152/ENSMUSG00000022708	5
GO:2000351	regulation of endothelial cell apoptotic process	3/110	55/21351	0.00287310330181323	0.0604205090401119	0.049646745955251	ENSMUSG00000022309/ENSMUSG00000027009/ENSMUSG00000040152	3
GO:0071404	cellular response to low-density lipoprotein particle stimulus	2/110	16/21351	0.0030109003732448	0.0610951313191516	0.0502010743022863	ENSMUSG00000038175/ENSMUSG00000021457	2
GO:0072672	neutrophil extravasation	2/110	16/21351	0.0030109003732448	0.0610951313191516	0.0502010743022863	ENSMUSG00000020717/ENSMUSG00000036006	2
GO:0043030	regulation of macrophage activation	3/110	56/21351	0.00302445100719013	0.0610951313191516	0.0502010743022863	ENSMUSG00000028076/ENSMUSG00000029254/ENSMUSG00000040152	3
GO:0009746	response to hexose	5/110	190/21351	0.00304900372873355	0.0610951313191516	0.0502010743022863	ENSMUSG00000005533/ENSMUSG00000025959/ENSMUSG00000020546/ENSMUSG00000040152/ENSMUSG00000022708	5
GO:0045619	regulation of lymphocyte differentiation	5/110	190/21351	0.00304900372873355	0.0610951313191516	0.0502010743022863	ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000026288/ENSMUSG00000025880/ENSMUSG00000021457	5
GO:0034284	response to monosaccharide	5/110	191/21351	0.00311834318918206	0.0614147947590348	0.0504637375906828	ENSMUSG00000005533/ENSMUSG00000025959/ENSMUSG00000020546/ENSMUSG00000040152/ENSMUSG00000022708	5
GO:0060560	developmental growth involved in morphogenesis	6/110	277/21351	0.00313950479449934	0.0614147947590348	0.0504637375906828	ENSMUSG00000029673/ENSMUSG00000028289/ENSMUSG00000027009/ENSMUSG00000042207/ENSMUSG00000026014/ENSMUSG00000022114	6
GO:0043536	positive regulation of blood vessel endothelial cell migration	3/110	57/21351	0.00318061554778429	0.0614147947590348	0.0504637375906828	ENSMUSG00000022309/ENSMUSG00000004698/ENSMUSG00000040152	3
GO:0045058	T cell selection	3/110	57/21351	0.00318061554778429	0.0614147947590348	0.0504637375906828	ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000021457	3
GO:0002695	negative regulation of leukocyte activation	5/110	193/21351	0.00326042787152234	0.062388727919941	0.0512640057940639	ENSMUSG00000014453/ENSMUSG00000026288/ENSMUSG00000036006/ENSMUSG00000022876/ENSMUSG00000025880	5
GO:0072577	endothelial cell apoptotic process	3/110	58/21351	0.0033416455544694	0.0633719210508303	0.0520718827942694	ENSMUSG00000022309/ENSMUSG00000027009/ENSMUSG00000040152	3
GO:0097284	hepatocyte apoptotic process	2/110	17/21351	0.00340090838287338	0.0639250389842748	0.0525263726018077	ENSMUSG00000005533/ENSMUSG00000018209	2
