Motif	GC content	Motif length
MPP4_Cluster_5 GRHL2,SCRT1,SCRT2	0.4707	16
MPP4_Cluster_62 Hand1::Tcf3,Smad4	0.4528	10
MPP4_Cluster_45 Hic1,NFIA,NFIC	0.5014	11
MPP4_MA0109.1 HLTF	0.3969	10
MPP4_Cluster_66 HMBOX1,ZNF652	0.3344	12
MPP4_Cluster_32 Hoxa11,HOXA9,HOXB9(...)	0.3405	12
MPP4_Cluster_35 HOXA2,HOXA6,HOXB4(...)	0.3187	11
MPP4_Cluster_61 HSF2,HSF4,ZBTB12	0.4288	13
MPP4_Cluster_68 IRF1,IRF2,IRF3(...)	0.4195	24
MPP4_Cluster_59 ISL2,MSANTD3,NKX2-2(...)	0.4401	15
MPP4_MA0135.1 Lhx3	0.1308	13
MPP4_MA0619.1 LIN54	0.1885	9
MPP4_MA1520.1 MAF	0.4983	15
MPP4_Cluster_38 Mafb,MAFF,MAFG(...)	0.407	16
MPP4_Cluster_24 MEF2A,MEF2B,MEF2C(...)	0.2718	16
MPP4_Cluster_47 MEIS1,MEIS2,MEIS3(...)	0.4869	17
MPP4_Cluster_43 MEIS1(var.2),MEIS2(var.2),PBX1(...)	0.307	15
MPP4_Cluster_50 MYB,ZKSCAN1	0.478	11
MPP4_Cluster_16 NFAT5,NFATC1,NFATC2(...)	0.3916	10
MPP4_Cluster_12 NR1I3,VDR	0.3423	9
MPP4_Cluster_15 Nr2e1,NR4A1	0.3949	12
MPP4_MA0164.1 Nr2e3	0.3726	7
MPP4_Cluster_42 ONECUT1,ONECUT2,ONECUT3	0.2372	16
MPP4_Cluster_49 OSR1,OSR2	0.5222	12
MPP4_MA0067.1 Pax2	0.5161	8
MPP4_Cluster_46 PKNOX2,TGIF2,TGIF2LX(...)	0.4987	12
MPP4_Cluster_40 POU2F1,POU3F1,POU3F3(...)	0.2531	17
MPP4_Cluster_29 POU4F1,POU4F3	0.2483	16
MPP4_MA0508.3 PRDM1	0.4193	11
MPP4_MA1647.1 PRDM4	0.4287	11
MPP4_Cluster_64 RFX1,RFX2,RFX3(...)	0.5074	17
MPP4_MA1554.1 RFX7	0.5322	9
MPP4_Cluster_8 Rhox11,ZBTB32	0.4539	17
MPP4_Cluster_14 RORB,RORC	0.4168	13
MPP4_MA0073.1 RREB1	0.6227	20
MPP4_Cluster_55 RUNX1,RUNX2,RUNX3	0.4546	12
MPP4_Cluster_4 SIX1,SIX2	0.4262	16
MPP4_MA0513.1 SMAD2::SMAD3::SMAD4	0.5562	13
MPP4_Cluster_19 SOX10,SOX13,SOX15(...)	0.387	12
MPP4_Cluster_20 SOX12,Sox5,SOX9(...)	0.4676	12
MPP4_Cluster_71 SPI1,SPIB,ZKSCAN5	0.435	20
MPP4_MA0687.1 SPIC	0.4105	14
MPP4_MA0111.1 Spz1	0.5379	11
MPP4_MA0520.1 Stat6	0.4062	15
MPP4_Cluster_9 TCF7,TCF7L1,TCF7L2	0.3891	14
MPP4_Cluster_44 TEAD1,TEAD2,TEAD3(...)	0.4599	13
MPP4_MA1589.1 ZNF140	0.5037	21
MPP4_MA1124.1 ZNF24	0.3244	13
MPP4_MA0130.1 ZNF354C	0.6146	6
MPP4_MA1125.1 ZNF384	0.1534	12
