	MA1100.2 ASCL1	MA1631.1 ASCL1(var.2)	MA1102.2 CTCFL	MA0162.4 EGR1	MA0493.1 Klf1	MA1512.1 KLF11	MA1513.1 KLF15	MA0741.1 KLF16	MA1515.1 KLF2	MA0039.4 KLF4	MA0599.1 KLF5	MA0499.2 MYOD1	MA0048.2 NHLH1	MA1620.1 Ptf1a(var.3)	MA1621.1 Rbpjl	MA1558.1 SNAI1	MA0745.2 SNAI2	MA1559.1 SNAI3	MA1564.1 SP9	MA1648.1 TCF12(var.2)	MA0522.3 TCF3	MA0830.2 TCF4	MA0632.2 TCFL5	MA0810.1 TFAP2A(var.2)	MA0811.1 TFAP2B	MA0524.2 TFAP2C	MA1627.1 Wt1	MA1650.1 ZBTB14	MA0103.3 ZEB1	MA1653.1 ZNF148	MA0528.2 ZNF263
MA0599.1 KLF5	0.802	0.666	0.58	0.383	0.091	0.144	0.308	0.229	0.223	0.093	0.0	0.719	0.795	0.666	0.642	0.665	0.661	0.647	0.169	0.614	0.616	0.662	0.599	0.653	0.663	0.669	0.348	0.605	0.574	0.255	0.307
MA0499.2 MYOD1	0.14	0.079	0.411	0.68	0.666	0.588	0.64	0.644	0.511	0.56	0.719	0.0	0.144	0.066	0.061	0.19	0.054	0.123	0.648	0.148	0.16	0.078	0.533	0.736	0.764	0.763	0.647	0.561	0.153	0.531	0.642
MA0048.2 NHLH1	0.078	0.133	0.541	0.628	0.725	0.633	0.689	0.707	0.539	0.614	0.795	0.144	0.0	0.121	0.125	0.262	0.201	0.228	0.785	0.154	0.157	0.129	0.521	0.769	0.783	0.794	0.697	0.509	0.194	0.606	0.724
MA1620.1 Ptf1a(var.3)	0.137	0.098	0.438	0.657	0.576	0.536	0.7	0.614	0.481	0.514	0.666	0.066	0.121	0.0	0.008	0.136	0.062	0.124	0.625	0.13	0.135	0.092	0.549	0.717	0.725	0.734	0.654	0.57	0.104	0.6	0.676
MA1621.1 Rbpjl	0.144	0.084	0.414	0.617	0.548	0.495	0.658	0.579	0.435	0.485	0.642	0.061	0.125	0.008	0.0	0.129	0.052	0.119	0.585	0.109	0.112	0.073	0.514	0.682	0.696	0.708	0.632	0.548	0.075	0.569	0.656
MA1558.1 SNAI1	0.232	0.158	0.519	0.627	0.583	0.532	0.695	0.583	0.502	0.516	0.665	0.19	0.262	0.136	0.129	0.0	0.084	0.055	0.583	0.163	0.178	0.153	0.512	0.703	0.722	0.737	0.661	0.559	0.146	0.568	0.649
MA0745.2 SNAI2	0.196	0.082	0.423	0.631	0.587	0.505	0.622	0.554	0.466	0.512	0.661	0.054	0.201	0.062	0.052	0.084	0.0	0.049	0.562	0.107	0.117	0.071	0.491	0.657	0.677	0.687	0.658	0.556	0.09	0.533	0.624
MA1559.1 SNAI3	0.22	0.133	0.476	0.612	0.571	0.492	0.617	0.536	0.473	0.516	0.647	0.123	0.228	0.124	0.119	0.055	0.049	0.0	0.545	0.132	0.152	0.137	0.513	0.681	0.706	0.716	0.667	0.572	0.148	0.571	0.676
MA1564.1 SP9	0.812	0.563	0.451	0.287	0.125	0.063	0.255	0.103	0.173	0.218	0.169	0.648	0.785	0.625	0.585	0.583	0.562	0.545	0.0	0.506	0.527	0.572	0.582	0.596	0.619	0.619	0.308	0.498	0.543	0.333	0.412
MA1648.1 TCF12(var.2)	0.173	0.037	0.351	0.392	0.555	0.423	0.48	0.496	0.396	0.453	0.614	0.148	0.154	0.13	0.109	0.163	0.107	0.132	0.506	0.0	0.008	0.046	0.364	0.601	0.634	0.645	0.519	0.526	0.064	0.45	0.533
MA0522.3 TCF3	0.185	0.048	0.37	0.387	0.554	0.427	0.485	0.503	0.407	0.443	0.616	0.16	0.157	0.135	0.112	0.178	0.117	0.152	0.527	0.008	0.0	0.051	0.34	0.623	0.653	0.667	0.529	0.512	0.059	0.481	0.556
MA0830.2 TCF4	0.14	0.017	0.338	0.514	0.605	0.498	0.526	0.572	0.421	0.484	0.662	0.078	0.129	0.092	0.073	0.153	0.071	0.137	0.572	0.046	0.051	0.0	0.404	0.602	0.634	0.651	0.621	0.51	0.07	0.452	0.558
MA0632.2 TCFL5	0.49	0.436	0.614	0.46	0.585	0.487	0.421	0.579	0.418	0.558	0.599	0.533	0.521	0.549	0.514	0.512	0.491	0.513	0.582	0.364	0.34	0.404	0.0	0.736	0.767	0.757	0.575	0.481	0.389	0.582	0.666
MA0810.1 TFAP2A(var.2)	0.652	0.639	0.57	0.579	0.632	0.563	0.595	0.626	0.539	0.635	0.653	0.736	0.769	0.717	0.682	0.703	0.657	0.681	0.596	0.601	0.623	0.602	0.736	0.0	0.02	0.027	0.617	0.552	0.576	0.594	0.653
MA0811.1 TFAP2B	0.687	0.677	0.623	0.604	0.642	0.582	0.624	0.654	0.572	0.662	0.663	0.764	0.783	0.725	0.696	0.722	0.677	0.706	0.619	0.634	0.653	0.634	0.767	0.02	0.0	0.007	0.639	0.629	0.592	0.657	0.683
MA0524.2 TFAP2C	0.665	0.686	0.619	0.616	0.652	0.587	0.626	0.663	0.572	0.675	0.669	0.763	0.794	0.734	0.708	0.737	0.687	0.716	0.619	0.645	0.667	0.651	0.757	0.027	0.007	0.0	0.654	0.65	0.607	0.68	0.68
MA1627.1 Wt1	0.734	0.586	0.483	0.185	0.395	0.29	0.405	0.295	0.428	0.352	0.348	0.647	0.697	0.654	0.632	0.661	0.658	0.667	0.308	0.519	0.529	0.621	0.575	0.617	0.639	0.654	0.0	0.484	0.618	0.266	0.302
MA1650.1 ZBTB14	0.591	0.549	0.567	0.238	0.569	0.455	0.312	0.483	0.419	0.541	0.605	0.561	0.509	0.57	0.548	0.559	0.556	0.572	0.498	0.526	0.512	0.51	0.481	0.552	0.629	0.65	0.484	0.0	0.52	0.483	0.564
MA0103.3 ZEB1	0.23	0.096	0.382	0.481	0.506	0.444	0.568	0.561	0.372	0.417	0.574	0.153	0.194	0.104	0.075	0.146	0.09	0.148	0.543	0.064	0.059	0.07	0.389	0.576	0.592	0.607	0.618	0.52	0.0	0.556	0.643
MA1653.1 ZNF148	0.629	0.434	0.38	0.391	0.382	0.337	0.225	0.314	0.353	0.207	0.255	0.531	0.606	0.6	0.569	0.568	0.533	0.571	0.333	0.45	0.481	0.452	0.582	0.594	0.657	0.68	0.266	0.483	0.556	0.0	0.23
MA0528.2 ZNF263	0.744	0.512	0.521	0.467	0.39	0.429	0.387	0.423	0.449	0.333	0.307	0.642	0.724	0.676	0.656	0.649	0.624	0.676	0.412	0.533	0.556	0.558	0.666	0.653	0.683	0.68	0.302	0.564	0.643	0.23	0.0
