	MA1100.2 ASCL1	MA1631.1 ASCL1(var.2)	MA0816.1 Ascl2	MA1467.1 ATOH1(var.2)	MA1468.1 ATOH7	MA0607.1 Bhlha15	MA1472.1 BHLHA15(var.2)	MA1635.1 BHLHE22(var.2)	MA0154.4 EBF1	MA1604.1 Ebf2	MA1637.1 EBF3	MA0473.3 ELF1	MA0640.2 ELF3	MA0136.2 ELF5	MA0761.2 ETV1	MA0764.2 ETV4	MA0765.2 ETV5	MA0820.1 FIGLA	MA0062.3 GABPA	MA1638.1 HAND2	MA0739.1 Hic1	MA0599.1 KLF5	MA1108.2 MXI1	MA1641.1 MYF5	MA0499.2 MYOD1	MA0500.2 MYOG	MA1109.1 NEUROD1	MA1642.1 NEUROG2(var.2)	MA0048.2 NHLH1	MA0503.1 Nkx2-5(var.2)	MA1114.1 PBX3	MA0782.2 PKNOX1	MA1618.1 Ptf1a	MA1619.1 Ptf1a(var.2)	MA1620.1 Ptf1a(var.3)	MA1621.1 Rbpjl	MA0513.1 SMAD2::SMAD3::SMAD4	MA1558.1 SNAI1	MA0745.2 SNAI2	MA1559.1 SNAI3	MA0091.1 TAL1::TCF3	MA1566.1 TBX3	MA0807.1 TBX5	MA0521.1 Tcf12	MA1648.1 TCF12(var.2)	MA0522.3 TCF3	MA0830.2 TCF4	MA0691.1 TFAP4	MA1570.1 TFAP4(var.2)	MA1123.2 TWIST1	MA0698.1 ZBTB18	MA1581.1 ZBTB6	MA0103.3 ZEB1	MA1629.1 Zic2	MA1652.1 ZKSCAN5	MA1593.1 ZNF317	MA1655.1 ZNF341
MA1637.1 EBF3	0.671	0.661	0.851	0.815	0.693	0.79	0.773	0.734	0.132	0.005	0.0	0.619	0.577	0.642	0.637	0.617	0.61	0.615	0.632	0.769	0.587	0.575	0.66	0.794	0.668	0.816	0.717	0.7	0.699	0.596	0.777	0.79	0.763	0.738	0.615	0.617	0.783	0.649	0.655	0.708	0.826	0.799	0.629	0.713	0.675	0.706	0.622	0.717	0.665	0.688	0.755	0.453	0.614	0.575	0.675	0.727	0.795
MA0473.3 ELF1	0.747	0.587	0.692	0.74	0.708	0.72	0.658	0.783	0.66	0.607	0.619	0.0	0.021	0.124	0.029	0.104	0.09	0.594	0.019	0.635	0.72	0.546	0.678	0.777	0.64	0.776	0.681	0.682	0.676	0.711	0.678	0.717	0.699	0.795	0.671	0.64	0.643	0.543	0.607	0.586	0.72	0.627	0.637	0.619	0.562	0.554	0.63	0.742	0.784	0.622	0.616	0.712	0.604	0.501	0.256	0.682	0.561
MA0640.2 ELF3	0.773	0.598	0.694	0.752	0.741	0.742	0.678	0.78	0.64	0.562	0.577	0.021	0.0	0.126	0.054	0.106	0.106	0.59	0.037	0.667	0.694	0.507	0.697	0.8	0.671	0.764	0.685	0.706	0.717	0.741	0.704	0.721	0.706	0.816	0.682	0.653	0.657	0.534	0.624	0.58	0.728	0.656	0.645	0.629	0.575	0.566	0.65	0.74	0.788	0.661	0.623	0.665	0.617	0.492	0.238	0.67	0.622
MA0136.2 ELF5	0.754	0.72	0.655	0.653	0.597	0.59	0.556	0.745	0.693	0.622	0.642	0.124	0.126	0.0	0.1	0.174	0.129	0.736	0.134	0.485	0.777	0.661	0.741	0.705	0.747	0.713	0.555	0.543	0.759	0.815	0.769	0.744	0.561	0.714	0.719	0.721	0.74	0.753	0.771	0.804	0.619	0.806	0.766	0.732	0.768	0.756	0.748	0.762	0.732	0.54	0.553	0.677	0.747	0.59	0.442	0.677	0.641
MA0761.2 ETV1	0.745	0.615	0.673	0.686	0.639	0.662	0.594	0.794	0.678	0.624	0.637	0.029	0.054	0.1	0.0	0.096	0.111	0.607	0.013	0.578	0.744	0.584	0.704	0.773	0.612	0.788	0.629	0.621	0.765	0.729	0.621	0.699	0.646	0.77	0.63	0.61	0.663	0.59	0.563	0.606	0.643	0.72	0.721	0.658	0.621	0.653	0.638	0.736	0.732	0.57	0.6	0.732	0.588	0.493	0.336	0.643	0.594
MA0764.2 ETV4	0.767	0.625	0.68	0.751	0.683	0.775	0.688	0.762	0.72	0.605	0.617	0.104	0.106	0.174	0.096	0.0	0.163	0.579	0.114	0.648	0.703	0.603	0.78	0.799	0.664	0.756	0.693	0.685	0.766	0.741	0.689	0.772	0.765	0.8	0.651	0.632	0.596	0.59	0.582	0.618	0.752	0.736	0.692	0.711	0.614	0.639	0.644	0.794	0.798	0.719	0.705	0.685	0.575	0.523	0.377	0.77	0.607
MA0765.2 ETV5	0.634	0.605	0.602	0.565	0.568	0.595	0.521	0.673	0.658	0.598	0.61	0.09	0.106	0.129	0.111	0.163	0.0	0.683	0.108	0.488	0.686	0.601	0.709	0.642	0.666	0.653	0.53	0.527	0.675	0.719	0.726	0.739	0.535	0.639	0.635	0.63	0.638	0.571	0.641	0.608	0.607	0.639	0.644	0.659	0.563	0.546	0.629	0.716	0.648	0.507	0.509	0.656	0.626	0.581	0.262	0.656	0.591
MA0820.1 FIGLA	0.166	0.183	0.246	0.41	0.443	0.453	0.286	0.203	0.589	0.636	0.615	0.594	0.59	0.736	0.607	0.579	0.683	0.0	0.6	0.495	0.601	0.719	0.431	0.206	0.184	0.23	0.349	0.399	0.211	0.732	0.652	0.679	0.306	0.173	0.137	0.138	0.575	0.223	0.201	0.244	0.371	0.411	0.364	0.214	0.22	0.246	0.188	0.161	0.302	0.316	0.336	0.693	0.209	0.366	0.573	0.447	0.487
MA0062.3 GABPA	0.743	0.611	0.652	0.675	0.667	0.683	0.605	0.785	0.669	0.616	0.632	0.019	0.037	0.134	0.013	0.114	0.108	0.6	0.0	0.627	0.711	0.548	0.675	0.776	0.609	0.783	0.634	0.651	0.712	0.712	0.618	0.701	0.662	0.778	0.634	0.614	0.64	0.557	0.574	0.596	0.667	0.658	0.659	0.639	0.593	0.587	0.645	0.725	0.752	0.596	0.6	0.721	0.611	0.482	0.269	0.621	0.588
MA1638.1 HAND2	0.317	0.284	0.339	0.334	0.241	0.224	0.277	0.27	0.727	0.779	0.769	0.635	0.667	0.485	0.578	0.648	0.488	0.495	0.627	0.0	0.64	0.774	0.31	0.286	0.288	0.274	0.119	0.076	0.286	0.754	0.649	0.656	0.094	0.244	0.264	0.249	0.48	0.406	0.3	0.386	0.281	0.577	0.622	0.311	0.307	0.297	0.266	0.311	0.282	0.111	0.23	0.721	0.264	0.615	0.612	0.469	0.581
MA0739.1 Hic1	0.624	0.618	0.594	0.63	0.596	0.643	0.606	0.595	0.604	0.597	0.587	0.72	0.694	0.777	0.744	0.703	0.686	0.601	0.711	0.64	0.0	0.652	0.624	0.635	0.626	0.633	0.562	0.609	0.68	0.639	0.55	0.529	0.665	0.645	0.666	0.664	0.556	0.61	0.633	0.59	0.662	0.559	0.504	0.625	0.564	0.61	0.626	0.654	0.699	0.576	0.653	0.657	0.62	0.568	0.658	0.712	0.695
MA0599.1 KLF5	0.802	0.666	0.782	0.822	0.81	0.865	0.793	0.797	0.617	0.591	0.575	0.546	0.507	0.661	0.584	0.603	0.601	0.719	0.548	0.774	0.652	0.0	0.697	0.812	0.719	0.846	0.757	0.794	0.795	0.589	0.562	0.577	0.822	0.781	0.666	0.642	0.644	0.665	0.661	0.647	0.834	0.401	0.407	0.749	0.614	0.616	0.662	0.782	0.775	0.77	0.766	0.726	0.574	0.681	0.514	0.879	0.757
MA1108.2 MXI1	0.348	0.383	0.527	0.554	0.283	0.393	0.419	0.528	0.703	0.646	0.66	0.678	0.697	0.741	0.704	0.78	0.709	0.431	0.675	0.31	0.624	0.697	0.0	0.506	0.375	0.55	0.34	0.287	0.365	0.737	0.638	0.651	0.293	0.407	0.319	0.295	0.673	0.36	0.332	0.358	0.461	0.438	0.448	0.481	0.336	0.307	0.338	0.479	0.225	0.277	0.407	0.711	0.26	0.657	0.689	0.704	0.718
MA1641.1 MYF5	0.134	0.187	0.084	0.161	0.315	0.195	0.108	0.048	0.797	0.821	0.794	0.777	0.8	0.705	0.773	0.799	0.642	0.206	0.776	0.286	0.635	0.812	0.506	0.0	0.126	0.043	0.178	0.198	0.108	0.693	0.572	0.551	0.118	0.024	0.1	0.128	0.603	0.333	0.216	0.277	0.226	0.477	0.56	0.101	0.261	0.271	0.201	0.086	0.273	0.172	0.201	0.638	0.29	0.335	0.636	0.3	0.357
MA0499.2 MYOD1	0.14	0.079	0.157	0.271	0.266	0.274	0.213	0.148	0.705	0.697	0.668	0.64	0.671	0.747	0.612	0.664	0.666	0.184	0.609	0.288	0.626	0.719	0.375	0.126	0.0	0.149	0.189	0.224	0.144	0.636	0.433	0.47	0.182	0.11	0.066	0.061	0.585	0.19	0.054	0.123	0.319	0.403	0.43	0.057	0.148	0.16	0.078	0.198	0.288	0.249	0.264	0.659	0.153	0.404	0.526	0.386	0.371
MA0500.2 MYOG	0.119	0.162	0.097	0.189	0.342	0.213	0.133	0.018	0.787	0.843	0.816	0.776	0.764	0.713	0.788	0.756	0.653	0.23	0.783	0.274	0.633	0.846	0.55	0.043	0.149	0.0	0.212	0.229	0.1	0.777	0.604	0.582	0.148	0.046	0.16	0.177	0.62	0.338	0.235	0.264	0.283	0.523	0.591	0.102	0.227	0.249	0.185	0.113	0.361	0.216	0.246	0.599	0.283	0.356	0.629	0.311	0.349
MA1109.1 NEUROD1	0.196	0.223	0.179	0.201	0.188	0.106	0.115	0.207	0.737	0.718	0.717	0.681	0.685	0.555	0.629	0.693	0.53	0.349	0.634	0.119	0.562	0.757	0.34	0.178	0.189	0.212	0.0	0.015	0.235	0.762	0.549	0.549	0.065	0.164	0.182	0.186	0.535	0.34	0.248	0.317	0.147	0.574	0.616	0.181	0.274	0.274	0.236	0.253	0.224	0.091	0.231	0.689	0.288	0.4	0.637	0.421	0.489
MA1642.1 NEUROG2(var.2)	0.213	0.258	0.211	0.209	0.174	0.093	0.131	0.226	0.755	0.701	0.7	0.682	0.706	0.543	0.621	0.685	0.527	0.399	0.651	0.076	0.609	0.794	0.287	0.198	0.224	0.229	0.015	0.0	0.228	0.798	0.588	0.579	0.047	0.174	0.206	0.206	0.533	0.368	0.277	0.348	0.158	0.581	0.645	0.223	0.304	0.295	0.259	0.264	0.208	0.073	0.215	0.714	0.298	0.454	0.657	0.466	0.524
MA0048.2 NHLH1	0.078	0.133	0.141	0.229	0.302	0.228	0.154	0.096	0.704	0.722	0.699	0.676	0.717	0.759	0.765	0.766	0.675	0.211	0.712	0.286	0.68	0.795	0.365	0.108	0.144	0.1	0.235	0.228	0.0	0.736	0.618	0.619	0.158	0.065	0.121	0.125	0.606	0.262	0.201	0.228	0.346	0.416	0.498	0.124	0.154	0.157	0.129	0.155	0.269	0.214	0.259	0.696	0.194	0.427	0.569	0.412	0.441
MA0503.1 Nkx2-5(var.2)	0.758	0.765	0.718	0.742	0.773	0.841	0.72	0.75	0.682	0.579	0.596	0.711	0.741	0.815	0.729	0.741	0.719	0.732	0.712	0.754	0.639	0.589	0.737	0.693	0.636	0.777	0.762	0.798	0.736	0.0	0.447	0.439	0.772	0.767	0.677	0.7	0.608	0.685	0.691	0.743	0.801	0.539	0.537	0.654	0.75	0.784	0.794	0.712	0.726	0.767	0.747	0.525	0.773	0.648	0.68	0.66	0.628
MA1114.1 PBX3	0.593	0.529	0.585	0.579	0.614	0.654	0.573	0.613	0.825	0.765	0.777	0.678	0.704	0.769	0.621	0.689	0.726	0.652	0.618	0.649	0.55	0.562	0.638	0.572	0.433	0.604	0.549	0.588	0.618	0.447	0.0	0.026	0.592	0.582	0.535	0.518	0.401	0.6	0.473	0.511	0.684	0.506	0.566	0.471	0.58	0.605	0.549	0.626	0.669	0.66	0.673	0.667	0.608	0.643	0.559	0.567	0.557
MA0782.2 PKNOX1	0.575	0.588	0.576	0.545	0.61	0.617	0.536	0.599	0.85	0.78	0.79	0.717	0.721	0.744	0.699	0.772	0.739	0.679	0.701	0.656	0.529	0.577	0.651	0.551	0.47	0.582	0.549	0.579	0.619	0.439	0.026	0.0	0.57	0.565	0.568	0.56	0.421	0.655	0.526	0.563	0.676	0.478	0.563	0.493	0.648	0.669	0.614	0.612	0.667	0.626	0.641	0.698	0.674	0.653	0.55	0.529	0.576
MA1618.1 Ptf1a	0.156	0.229	0.155	0.172	0.2	0.114	0.102	0.163	0.74	0.775	0.763	0.699	0.706	0.561	0.646	0.765	0.535	0.306	0.662	0.094	0.665	0.822	0.293	0.118	0.182	0.148	0.065	0.047	0.158	0.772	0.592	0.57	0.0	0.096	0.135	0.137	0.562	0.323	0.233	0.305	0.148	0.534	0.576	0.181	0.279	0.275	0.233	0.169	0.192	0.045	0.116	0.768	0.268	0.483	0.656	0.417	0.471
MA1619.1 Ptf1a(var.2)	0.094	0.159	0.12	0.197	0.276	0.182	0.11	0.038	0.745	0.762	0.738	0.795	0.816	0.714	0.77	0.8	0.639	0.173	0.778	0.244	0.645	0.781	0.407	0.024	0.11	0.046	0.164	0.174	0.065	0.767	0.582	0.565	0.096	0.0	0.078	0.093	0.614	0.3	0.186	0.238	0.231	0.438	0.521	0.101	0.205	0.211	0.158	0.076	0.213	0.145	0.196	0.671	0.214	0.359	0.648	0.346	0.383
MA1620.1 Ptf1a(var.3)	0.137	0.098	0.15	0.283	0.289	0.273	0.18	0.147	0.634	0.637	0.615	0.671	0.682	0.719	0.63	0.651	0.635	0.137	0.634	0.264	0.666	0.666	0.319	0.1	0.066	0.16	0.182	0.206	0.121	0.677	0.535	0.568	0.135	0.078	0.0	0.008	0.561	0.136	0.062	0.124	0.268	0.331	0.336	0.114	0.13	0.135	0.092	0.14	0.23	0.163	0.207	0.686	0.104	0.431	0.505	0.411	0.484
MA1621.1 Rbpjl	0.144	0.084	0.172	0.299	0.268	0.287	0.202	0.161	0.636	0.638	0.617	0.64	0.653	0.721	0.61	0.632	0.63	0.138	0.614	0.249	0.664	0.642	0.295	0.128	0.061	0.177	0.186	0.206	0.125	0.7	0.518	0.56	0.137	0.093	0.008	0.0	0.557	0.129	0.052	0.119	0.275	0.311	0.308	0.124	0.109	0.112	0.073	0.154	0.224	0.172	0.21	0.702	0.075	0.462	0.491	0.454	0.478
MA0513.1 SMAD2::SMAD3::SMAD4	0.615	0.578	0.617	0.627	0.653	0.669	0.624	0.603	0.821	0.792	0.783	0.643	0.657	0.74	0.663	0.596	0.638	0.575	0.64	0.48	0.556	0.644	0.673	0.603	0.585	0.62	0.535	0.533	0.606	0.608	0.401	0.421	0.562	0.614	0.561	0.557	0.0	0.587	0.587	0.597	0.705	0.438	0.407	0.61	0.578	0.592	0.574	0.603	0.653	0.596	0.642	0.611	0.577	0.651	0.579	0.625	0.615
MA1558.1 SNAI1	0.232	0.158	0.264	0.476	0.484	0.471	0.376	0.336	0.661	0.663	0.649	0.543	0.534	0.753	0.59	0.59	0.571	0.223	0.557	0.406	0.61	0.665	0.36	0.333	0.19	0.338	0.34	0.368	0.262	0.685	0.6	0.655	0.323	0.3	0.136	0.129	0.587	0.0	0.084	0.055	0.51	0.352	0.261	0.245	0.163	0.178	0.153	0.341	0.459	0.371	0.4	0.627	0.146	0.46	0.404	0.542	0.674
MA0745.2 SNAI2	0.196	0.082	0.219	0.398	0.342	0.358	0.307	0.228	0.663	0.677	0.655	0.607	0.624	0.771	0.563	0.582	0.641	0.201	0.574	0.3	0.633	0.661	0.332	0.216	0.054	0.235	0.248	0.277	0.201	0.691	0.473	0.526	0.233	0.186	0.062	0.052	0.587	0.084	0.0	0.049	0.396	0.361	0.323	0.148	0.107	0.117	0.071	0.273	0.361	0.281	0.321	0.667	0.09	0.442	0.455	0.493	0.507
MA1559.1 SNAI3	0.22	0.133	0.252	0.433	0.441	0.414	0.356	0.274	0.713	0.727	0.708	0.586	0.58	0.804	0.606	0.618	0.608	0.244	0.596	0.386	0.59	0.647	0.358	0.277	0.123	0.264	0.317	0.348	0.228	0.743	0.511	0.563	0.305	0.238	0.124	0.119	0.597	0.055	0.049	0.0	0.47	0.402	0.324	0.167	0.132	0.152	0.137	0.311	0.447	0.376	0.332	0.694	0.148	0.402	0.448	0.526	0.528
MA0091.1 TAL1::TCF3	0.3	0.353	0.253	0.199	0.209	0.144	0.161	0.302	0.797	0.82	0.826	0.72	0.728	0.619	0.643	0.752	0.607	0.371	0.667	0.281	0.662	0.834	0.461	0.226	0.319	0.283	0.147	0.158	0.346	0.801	0.684	0.676	0.148	0.231	0.268	0.275	0.705	0.51	0.396	0.47	0.0	0.658	0.704	0.298	0.42	0.409	0.38	0.276	0.24	0.162	0.286	0.729	0.436	0.545	0.799	0.556	0.485
MA1566.1 TBX3	0.481	0.366	0.508	0.618	0.54	0.654	0.491	0.503	0.854	0.802	0.799	0.627	0.656	0.806	0.72	0.736	0.639	0.411	0.658	0.577	0.559	0.401	0.438	0.477	0.403	0.523	0.574	0.581	0.416	0.539	0.506	0.478	0.534	0.438	0.331	0.311	0.438	0.352	0.361	0.402	0.658	0.0	0.166	0.463	0.332	0.327	0.323	0.486	0.471	0.554	0.545	0.687	0.304	0.587	0.475	0.584	0.476
MA0807.1 TBX5	0.518	0.384	0.548	0.685	0.635	0.726	0.6	0.566	0.632	0.646	0.629	0.637	0.645	0.766	0.721	0.692	0.644	0.364	0.659	0.622	0.504	0.407	0.448	0.56	0.43	0.591	0.616	0.645	0.498	0.537	0.566	0.563	0.576	0.521	0.336	0.308	0.407	0.261	0.323	0.324	0.704	0.166	0.0	0.533	0.337	0.353	0.353	0.509	0.557	0.587	0.531	0.715	0.283	0.611	0.406	0.653	0.615
MA0521.1 Tcf12	0.139	0.105	0.135	0.201	0.316	0.255	0.18	0.114	0.744	0.744	0.713	0.619	0.629	0.732	0.658	0.711	0.659	0.214	0.639	0.311	0.625	0.749	0.481	0.101	0.057	0.102	0.181	0.223	0.124	0.654	0.471	0.493	0.181	0.101	0.114	0.124	0.61	0.245	0.148	0.167	0.298	0.463	0.533	0.0	0.166	0.185	0.147	0.172	0.347	0.241	0.231	0.668	0.227	0.359	0.491	0.324	0.318
MA1648.1 TCF12(var.2)	0.173	0.037	0.251	0.422	0.324	0.383	0.31	0.214	0.663	0.707	0.675	0.562	0.575	0.768	0.621	0.614	0.563	0.22	0.593	0.307	0.564	0.614	0.336	0.261	0.148	0.227	0.274	0.304	0.154	0.75	0.58	0.648	0.279	0.205	0.13	0.109	0.578	0.163	0.107	0.132	0.42	0.332	0.337	0.166	0.0	0.008	0.046	0.306	0.36	0.318	0.364	0.67	0.064	0.328	0.399	0.574	0.563
MA0522.3 TCF3	0.185	0.048	0.267	0.436	0.306	0.368	0.316	0.23	0.71	0.74	0.706	0.554	0.566	0.756	0.653	0.639	0.546	0.246	0.587	0.297	0.61	0.616	0.307	0.271	0.16	0.249	0.274	0.295	0.157	0.784	0.605	0.669	0.275	0.211	0.135	0.112	0.592	0.178	0.117	0.152	0.409	0.327	0.353	0.185	0.008	0.0	0.051	0.331	0.351	0.308	0.357	0.712	0.059	0.367	0.409	0.606	0.576
MA0830.2 TCF4	0.14	0.017	0.196	0.371	0.293	0.338	0.263	0.164	0.633	0.658	0.622	0.63	0.65	0.748	0.638	0.644	0.629	0.188	0.645	0.266	0.626	0.662	0.338	0.201	0.078	0.185	0.236	0.259	0.129	0.794	0.549	0.614	0.233	0.158	0.092	0.073	0.574	0.153	0.071	0.137	0.38	0.323	0.353	0.147	0.046	0.051	0.0	0.262	0.345	0.249	0.302	0.613	0.07	0.416	0.466	0.543	0.548
MA0691.1 TFAP4	0.202	0.255	0.205	0.237	0.357	0.346	0.209	0.107	0.724	0.726	0.717	0.742	0.74	0.762	0.736	0.794	0.716	0.161	0.725	0.311	0.654	0.782	0.479	0.086	0.198	0.113	0.253	0.264	0.155	0.712	0.626	0.612	0.169	0.076	0.14	0.154	0.603	0.341	0.273	0.311	0.276	0.486	0.509	0.172	0.306	0.331	0.262	0.0	0.18	0.222	0.284	0.662	0.278	0.36	0.603	0.244	0.376
MA1570.1 TFAP4(var.2)	0.284	0.366	0.397	0.323	0.208	0.302	0.255	0.334	0.707	0.658	0.665	0.784	0.788	0.732	0.732	0.798	0.648	0.302	0.752	0.282	0.699	0.775	0.225	0.273	0.288	0.361	0.224	0.208	0.269	0.726	0.669	0.667	0.192	0.213	0.23	0.224	0.653	0.459	0.361	0.447	0.24	0.471	0.557	0.347	0.36	0.351	0.345	0.18	0.0	0.198	0.343	0.826	0.302	0.569	0.677	0.494	0.606
MA1123.2 TWIST1	0.193	0.255	0.214	0.234	0.215	0.117	0.132	0.207	0.656	0.7	0.688	0.622	0.661	0.54	0.57	0.719	0.507	0.316	0.596	0.111	0.576	0.77	0.277	0.172	0.249	0.216	0.091	0.073	0.214	0.767	0.66	0.626	0.045	0.145	0.163	0.172	0.596	0.371	0.281	0.376	0.162	0.554	0.587	0.241	0.318	0.308	0.249	0.222	0.198	0.0	0.094	0.691	0.281	0.427	0.718	0.473	0.54
MA0698.1 ZBTB18	0.233	0.297	0.233	0.311	0.328	0.219	0.211	0.252	0.727	0.771	0.755	0.616	0.623	0.553	0.6	0.705	0.509	0.336	0.6	0.23	0.653	0.766	0.407	0.201	0.264	0.246	0.231	0.215	0.259	0.747	0.673	0.641	0.116	0.196	0.207	0.21	0.642	0.4	0.321	0.332	0.286	0.545	0.531	0.231	0.364	0.357	0.302	0.284	0.343	0.094	0.0	0.72	0.356	0.361	0.673	0.46	0.4
